key,by_innings,by_type,by_margin,bowl_out,eliminator,method,result,winner
wbb0351,,wickets,5.0,,,,,Melbourne Renegades
wbb0352,,wickets,4.0,,,,,Brisbane Heat
wbb0353,,wickets,8.0,,,,,Hobart Hurricanes
wbb0354,,runs,33.0,,,,,Brisbane Heat
wbb0355,,,,,,,no result,
wbb0356,,runs,23.0,,,,,Hobart Hurricanes
wbb0357,,wickets,6.0,,,,,Hobart Hurricanes
wbb0358,,runs,45.0,,,,,Sydney Sixers
wbb0359,,runs,104.0,,,,,Perth Scorchers
wbb0360,,,,,,,no result,
wbb0361,,wickets,5.0,,,,,Melbourne Stars
wbb0362,,wickets,6.0,,,,,Sydney Sixers
wbb0363,,runs,2.0,,,D/L,,Brisbane Heat
wbb0364,,wickets,8.0,,,,,Melbourne Renegades
wbb0365,,wickets,4.0,,,,,Melbourne Stars
wbb0366,,wickets,5.0,,,,,Sydney Sixers
wbb0367,,runs,38.0,,,,,Hobart Hurricanes
wbb0368,,runs,18.0,,,,,Sydney Sixers
wbb0369,,wickets,8.0,,,,,Adelaide Strikers
wbb0370,,runs,6.0,,,,,Melbourne Stars
wbb0371,,runs,26.0,,,,,Adelaide Strikers
wbb0372,,,,,,,no result,
wbb0373,,wickets,8.0,,,,,Sydney Sixers
wbb0374,,wickets,6.0,,,D/L,,Melbourne Renegades
wbb0375,,runs,44.0,,,,,Brisbane Heat
wbb0376,,wickets,6.0,,,,,Adelaide Strikers
wbb0377,,runs,10.0,,,,,Adelaide Strikers
