key_id,city,date,gender,match_type,match_type_number,neutral_venue,overs,player_of_match,venue
odis0246,Chandigarh,2006-11-01,male,ODI,,1.0,50,GD McGrath,"Punjab Cricket Association Stadium, Mohali"
odis0247,Jaipur,2006-11-02,male,ODI,,1.0,50,CH Gayle,Sawai Mansingh Stadium
odis0248,Mumbai,2006-11-05,male,ODI,,1.0,50,SR Watson,Brabourne Stadium
odis0249,Durban,2006-11-22,male,ODI,,,50,JH Kallis,Kingsmead
odis0250,Cape Town,2006-11-26,male,ODI,,,50,JM Kemp,Newlands
odis0251,Potchefstroom,2006-11-27,male,ODI,,1.0,50,S Dhaniram,Sedgars Park
odis0252,Port Elizabeth,2006-11-29,male,ODI,,,50,HH Gibbs,St George's Park
odis0253,Benoni,2006-11-30,male,ODI,,1.0,50,GR Codrington,Willowmoore Park
odis0254,Benoni,2006-12-01,male,ODI,,1.0,50,WF Stelling,Willowmoore Park
odis0255,Benoni,2006-12-02,male,ODI,,1.0,50,S Mukuddem,Willowmoore Park
odis0256,Bogra,2006-12-03,male,ODI,,,50,SC Williams,Shaheed Chandu Stadium
odis0257,Centurion,2006-12-03,male,ODI,,,50,SM Pollock,SuperSport Park
odis0258,Bogra,2006-12-05,male,ODI,,,50,Abdur Razzak,Shaheed Chandu Stadium
odis0259,Faisalabad,2006-12-07,male,ODI,,,50,Inzamam-ul-Haq,Iqbal Stadium
odis0260,Mirpur,2006-12-08,male,ODI,,,50,Aftab Ahmed,Shere Bangla National Stadium
odis0261,Mirpur,2006-12-09,male,ODI,,,50,GB Brent,Shere Bangla National Stadium
odis0262,Lahore,2006-12-10,male,ODI,,,50,Naved-ul-Hasan,Gaddafi Stadium
odis0263,,2006-12-13,male,ODI,,,50,MN Samuels,Multan Cricket Stadium
odis0264,Karachi,2006-12-16,male,ODI,,,50,Naved-ul-Hasan,National Stadium
odis0265,Napier,2006-12-28,male,ODI,,,50,ST Jayasuriya,McLean Park
odis0266,Christchurch,2007-01-02,male,ODI,,,50,MJ Mason,Jade Stadium
odis0267,Auckland,2007-01-06,male,ODI,,,50,ST Jayasuriya,Eden Park
odis0268,,2007-01-12,male,ODI,,,50,AC Gilchrist,Melbourne Cricket Ground
odis0269,Hobart,2007-01-14,male,ODI,,,50,A Symonds,Bellerive Oval
odis0270,Hobart,2007-01-16,male,ODI,,1.0,50,A Flintoff,Bellerive Oval
odis0271,Brisbane,2007-01-19,male,ODI,,,50,MEK Hussey,"Brisbane Cricket Ground, Woolloongabba"
odis0272,,2007-01-21,male,ODI,,,50,MJ Clarke,Sydney Cricket Ground
odis0273,Pretoria,2007-01-22,female,ODI,589.0,,50,,Harlequins
odis0274,,2007-01-23,male,ODI,,1.0,50,JDP Oram,Adelaide Oval
odis0275,Pretoria,2007-01-24,female,ODI,590.0,,50,,"Sinovich Park, Sinoville"
odis0276,,2007-01-26,male,ODI,,,50,MG Johnson,Adelaide Oval
odis0277,Chennai,2007-01-27,male,ODI,,,50,MN Samuels,"MA Chidambaram Stadium, Chepauk"
odis0278,Perth,2007-01-28,male,ODI,,,50,RT Ponting,Western Australia Cricket Association Ground
odis0279,Perth,2007-01-30,male,ODI,,1.0,50,L Vincent,Western Australia Cricket Association Ground
odis0280,Vadodara,2007-01-31,male,ODI,,,50,SR Tendulkar,Indian Petrochemicals Corporation Limited Sports Complex Ground
odis0281,Nairobi,2007-02-02,male,ODI,,1.0,50,JM Davison,Gymkhana Club Ground
odis0282,,2007-02-02,male,ODI,,,50,EC Joyce,Sydney Cricket Ground
