key_id,decision,winner
odis0779,bat,Bangladesh
odis0780,field,Australia
odis0781,bat,Pakistan
odis0782,bat,India
odis0783,bat,Zimbabwe
odis0784,field,Netherlands
odis0785,bat,Kenya
odis0786,bat,England
odis0787,bat,Pakistan
odis0788,field,Netherlands
odis0789,bat,Bangladesh
odis0790,bat,Zimbabwe
odis0791,bat,Sri Lanka
odis0792,bat,England
odis0793,field,India
odis0794,bat,Kenya
odis0795,bat,New Zealand
odis0796,bat,Netherlands
odis0797,field,Zimbabwe
odis0798,field,Bangladesh
odis0799,field,Ireland
odis0800,bat,India
odis0801,bat,Australia
odis0802,field,Canada
odis0803,bat,Netherlands
odis0804,bat,Zimbabwe
odis0805,field,Ireland
odis0806,bat,Canada
odis0807,bat,England
odis0808,field,Ireland
odis0809,bat,Sri Lanka
odis0810,bat,South Africa
odis0811,bat,Australia
odis0812,bat,India
odis0813,bat,Zimbabwe
odis0814,bat,West Indies
odis0815,bat,Australia
odis0816,bat,New Zealand
odis0817,bat,England
odis0818,bat,New Zealand
odis0819,bat,India
odis0820,bat,Sri Lanka
odis0821,field,Bangladesh
odis0822,bat,Bangladesh
odis0823,bat,Australia
odis0824,bat,West Indies
odis0825,field,Pakistan
odis0826,field,Pakistan
odis0827,field,West Indies
odis0828,bat,Pakistan
odis0829,bat,West Indies
odis0830,field,India
odis0831,field,India
odis0832,field,India
odis0833,field,West Indies
odis0834,field,Sri Lanka
odis0835,field,Scotland
odis0836,field,England
odis0837,bat,England
odis0838,field,England
odis0839,bat,England
odis0840,bat,Sri Lanka
odis0841,field,Zimbabwe
odis0842,field,Zimbabwe
odis0843,bat,Sri Lanka
odis0844,field,Bangladesh
odis0845,field,Australia
odis0846,field,Bangladesh
odis0847,bat,Sri Lanka
odis0848,field,Zimbabwe
odis0849,field,Sri Lanka
odis0850,field,Ireland
odis0851,field,England
odis0852,field,England
odis0853,bat,Pakistan
odis0854,field,England
odis0855,bat,Zimbabwe
odis0856,field,England
odis0857,field,Zimbabwe
odis0858,field,England
odis0859,field,Canada
odis0860,bat,Ireland
odis0861,field,Bangladesh
odis0862,bat,India
odis0863,bat,Bangladesh
odis0864,bat,England
odis0865,field,Bangladesh
odis0866,field,South Africa
odis0867,bat,Zimbabwe
odis0868,bat,England
odis0869,field,South Africa
odis0870,field,New Zealand
odis0871,field,South Africa
odis0872,bat,England
odis0873,bat,South Africa
odis0874,field,England
odis0875,bat,New Zealand
odis0876,field,England
odis0877,bat,South Africa
odis0878,bat,Sri Lanka
odis0879,bat,Sri Lanka
odis0880,bat,Pakistan
odis0881,bat,Pakistan
odis0882,bat,Sri Lanka
odis0883,field,India
odis0884,bat,Bangladesh
odis0885,field,India
odis0886,bat,Pakistan
odis0887,field,India
