key_id,player_of_match
odis0700,KD Karthik
odis0700,
odis0701,SCJ Broad
odis0701,
odis0702,GP Swann
odis0702,
odis0703,RJ Harris
odis0703,
odis0704,SW Tait
odis0704,
odis0705,KJ O'Brien
odis0705,
odis0706,IR Bell
odis0706,
odis0707,Mashrafe Mortaza
odis0707,
odis0708,AJ Strauss
odis0708,
odis0709,Shafiul Islam
odis0709,
odis0710,LRPL Taylor
odis0710,
odis0711,WU Tharanga
odis0711,
odis0712,V Sehwag
odis0712,
odis0717,NLTC Perera
odis0717,
odis0718,V Sehwag
odis0718,
odis0719,TM Dilshan
odis0719,
odis0720,R Gunasekera
odis0720,
odis0721,SM Davies
odis0721,
odis0722,AJ Strauss
odis0722,
odis0723,Umar Gul
odis0723,
odis0724,Abdul Razzaq
odis0724,
odis0725,EJG Morgan
odis0725,
odis0726,Shakib Al Hasan
odis0726,
odis0727,Suhrawadi Shuvo
odis0727,
odis0728,Shakib Al Hasan
odis0728,
odis0729,CA Ingram
odis0729,
odis0730,Rubel Hossain
odis0730,
odis0731,J Theron
odis0731,
odis0732,V Kohli
odis0732,
odis0733,JP Duminy
odis0733,
odis0734,LL Tsotsobe
odis0734,
odis0735,Abdul Razzaq
odis0735,
odis0736,HM Amla
odis0736,
odis0737,AD Mathews
odis0737,
odis0738,Younis Khan
odis0738,
odis0739,WU Tharanga
odis0739,
odis0740,CJ McKay
odis0740,
odis0741,JH Kallis
odis0741,
odis0742,V Kohli
odis0742,
odis0743,CB Mpofu
odis0743,
odis0744,G Gambhir
odis0744,
odis0745,Abdur Razzak
odis0745,
odis0746,G Gambhir
odis0746,
odis0747,Abdur Razzak
odis0747,
odis0748,YK Pathan
odis0748,
odis0749,Yuvraj Singh
odis0749,
odis0750,Tamim Iqbal
odis0750,
odis0751,LL Tsotsobe
odis0751,
odis0752,MM Patel
odis0752,
odis0753,SR Watson
odis0753,
odis0754,YK Pathan
odis0754,
odis0755,JP Duminy
odis0755,
odis0756,SE Marsh
odis0756,
odis0757,TG Southee
odis0757,
odis0758,HM Amla
odis0758,
odis0759,B Lee
odis0759,
odis0761,IJL Trott
odis0761,
odis0762,Mohammad Hafeez
odis0762,
odis0763,CR Woakes
odis0763,
odis0765,Misbah-ul-Haq
odis0765,
odis0766,IJL Trott
odis0766,
odis0767,Ahmed Shehzad
odis0767,
odis0768,WU Tharanga
odis0768,
odis0769,JD Ryder
odis0769,
odis0770,KC Sangakkara
odis0770,
odis0771,AC Voges
odis0771,
odis0772,V Sehwag
odis0772,
odis0773,DPMD Jayawardene
odis0773,
odis0774,HK Bennett
odis0774,
odis0775,SR Watson
odis0775,
odis0776,RN ten Doeschate
odis0776,
odis0777,Umar Akmal
odis0777,
odis0778,AB de Villiers
odis0778,
odis0779,Tamim Iqbal
odis0779,
odis0780,MG Johnson
odis0780,
odis0781,Shahid Afridi
odis0781,
odis0782,AJ Strauss
odis0782,
odis0783,T Taibu
odis0783,
odis0784,KAJ Roach
odis0784,
odis0785,SL Malinga
odis0785,
odis0786,KJ O'Brien
