key_id,teams
odis0534,Australia
odis0534,South Africa
odis0535,Sri Lanka
odis0535,India
odis0536,Australia
odis0536,South Africa
odis0537,Sri Lanka
odis0537,India
odis0538,Kenya
odis0538,Zimbabwe
odis0539,Australia
odis0539,New Zealand
odis0540,Sri Lanka
odis0540,India
odis0541,Sri Lanka
odis0541,India
odis0542,Australia
odis0542,New Zealand
odis0543,Sri Lanka
odis0543,India
odis0544,Australia
odis0544,New Zealand
odis0545,Australia
odis0545,New Zealand
odis0546,Australia
odis0546,New Zealand
odis0547,New Zealand
odis0547,India
odis0548,New Zealand
odis0548,India
odis0549,New Zealand
odis0549,India
odis0550,England
odis0550,India
odis0551,New Zealand
odis0551,India
odis0552,New Zealand
odis0552,India
odis0553,West Indies
odis0553,England
odis0554,West Indies
odis0554,England
odis0555,West Indies
odis0555,England
odis0556,West Indies
odis0556,England
odis0557,Ireland
odis0557,Scotland
odis0558,West Indies
odis0558,England
odis0559,South Africa
odis0559,Australia
odis0560,South Africa
odis0560,Australia
odis0561,Canada
odis0561,Scotland
odis0562,South Africa
odis0562,Australia
odis0563,South Africa
odis0563,Australia
odis0564,South Africa
odis0564,Australia
odis0565,Afghanistan
odis0565,Scotland
odis0566,Australia
odis0566,Pakistan
odis0567,Australia
odis0567,Pakistan
odis0568,Australia
odis0568,Pakistan
odis0569,Australia
odis0569,Pakistan
odis0570,Australia
odis0570,Pakistan
odis0571,England
odis0571,West Indies
odis0572,England
odis0572,West Indies
odis0573,West Indies
odis0573,India
odis0574,West Indies
odis0574,India
odis0575,England
odis0575,Australia
odis0576,West Indies
odis0576,India
odis0577,West Indies
odis0577,India
odis0578,West Indies
odis0578,Bangladesh
odis0579,West Indies
odis0579,Bangladesh
odis0580,Sri Lanka
odis0580,Pakistan
odis0581,West Indies
odis0581,Bangladesh
odis0582,Sri Lanka
odis0582,Pakistan
odis0583,Sri Lanka
odis0583,Pakistan
odis0584,Sri Lanka
odis0584,Pakistan
odis0585,Zimbabwe
odis0585,Bangladesh
odis0586,Sri Lanka
odis0586,Pakistan
odis0587,Zimbabwe
odis0587,Bangladesh
odis0588,Zimbabwe
odis0588,Bangladesh
odis0589,Zimbabwe
odis0589,Bangladesh
odis0590,Zimbabwe
odis0590,Bangladesh
odis0591,Canada
odis0591,Kenya
odis0592,Ireland
odis0592,England
odis0593,England
odis0593,Australia
odis0594,England
odis0594,Australia
odis0595,Sri Lanka
odis0595,New Zealand
odis0596,England
odis0596,Australia
odis0597,India
odis0597,New Zealand
odis0598,Sri Lanka
odis0598,India
odis0599,England
odis0599,Australia
odis0600,Sri Lanka
odis0600,India
odis0601,England
odis0601,Australia
odis0602,England
odis0602,Australia
odis0603,England
odis0603,Australia
odis0604,South Africa
odis0604,Sri Lanka
odis0605,Pakistan
odis0605,West Indies
odis0606,South Africa
odis0606,New Zealand
odis0607,England
odis0607,Sri Lanka
odis0608,India
odis0608,Pakistan
odis0609,Australia
odis0609,West Indies
odis0610,South Africa
odis0610,England
odis0611,New Zealand
odis0611,Sri Lanka
odis0612,Australia
odis0612,India
odis0613,England
odis0613,New Zealand
odis0614,India
odis0614,West Indies
odis0615,Australia
odis0615,Pakistan
odis0616,Australia
odis0616,England
odis0617,New Zealand
odis0617,Pakistan
odis0618,Australia
odis0618,New Zealand
odis0619,South Africa
odis0619,West Indies
odis0620,India
odis0620,Australia
odis0621,Bangladesh
odis0621,Zimbabwe
odis0622,India
odis0622,Australia
odis0623,Bangladesh
odis0623,Zimbabwe
odis0624,Bangladesh
odis0624,Zimbabwe
odis0625,India
odis0625,Australia
odis0626,India
odis0626,Australia
odis0627,New Zealand
odis0627,Pakistan
odis0628,Bangladesh
odis0628,Zimbabwe
odis0629,Bangladesh
odis0629,Zimbabwe
odis0630,India
odis0630,Australia
odis0631,New Zealand
odis0631,Pakistan
odis0632,South Africa
odis0632,Zimbabwe
odis0633,India
odis0633,Australia
odis0634,New Zealand
odis0634,Pakistan
odis0635,South Africa
odis0635,Zimbabwe
odis0636,South Africa
odis0636,England
odis0637,South Africa
odis0637,England
odis0638,South Africa
odis0638,England
odis0639,India
odis0639,Sri Lanka
odis0640,India
odis0640,Sri Lanka
odis0641,India
odis0641,Sri Lanka
odis0642,India
odis0642,Sri Lanka
odis0643,India
odis0643,Sri Lanka
odis0644,Bangladesh
odis0644,Sri Lanka
odis0645,India
odis0645,Sri Lanka
odis0646,Bangladesh
odis0646,India
odis0647,Bangladesh
odis0647,Sri Lanka
odis0648,India
odis0648,Sri Lanka
odis0649,Bangladesh
odis0649,India
odis0650,India
odis0650,Sri Lanka
odis0651,Australia
odis0651,Pakistan
odis0652,Australia
odis0652,Pakistan
odis0653,Australia
odis0653,Pakistan
odis0654,Australia
odis0654,Pakistan
odis0655,Australia
odis0655,Pakistan
odis0656,New Zealand
odis0656,Bangladesh
odis0657,Australia
odis0657,West Indies
odis0658,New Zealand
odis0658,Bangladesh
odis0659,Australia
odis0659,West Indies
odis0660,New Zealand
odis0660,Bangladesh
odis0661,Australia
odis0661,West Indies
odis0662,Australia
odis0662,West Indies
odis0663,Australia
odis0663,West Indies
odis0664,India
odis0664,South Africa
odis0665,India
odis0665,South Africa
odis0666,India
odis0666,South Africa
odis0667,Bangladesh
odis0667,England
odis0668,Bangladesh
odis0668,England
odis0669,New Zealand
odis0669,Australia
odis0670,West Indies
