key,inning_no,batting_team,delivery_no,batter,bowler,non_striker,runs_batter,runs_extras,runs_non_boundary,runs_total,wicket_fielder,wicket_kind,wicket_player_out,extras_type,extras_run,over,ball
apl0001,2,Kabul Zwanan,2.6,Javed Ahmadi,Sharafuddin Ashraf,Hazratullah,1,0,0,1,,,,,,2,6
apl0001,2,Kabul Zwanan,3.1,Javed Ahmadi,Yousuf Zazai,Hazratullah,0,1,0,1,,,,wides,1.0,3,1
apl0001,2,Kabul Zwanan,3.2,Javed Ahmadi,Yousuf Zazai,Hazratullah,0,0,0,0,,,,,,3,1
apl0001,2,Kabul Zwanan,3.3,Javed Ahmadi,Yousuf Zazai,Hazratullah,1,0,0,1,,,,,,3,2
apl0001,2,Kabul Zwanan,3.4,Hazratullah,Yousuf Zazai,Javed Ahmadi,0,1,0,1,,,,legbyes,1.0,3,3
apl0001,2,Kabul Zwanan,3.5,Javed Ahmadi,Yousuf Zazai,Hazratullah,1,0,0,1,,,,,,3,4
apl0001,2,Kabul Zwanan,3.6,Hazratullah,Yousuf Zazai,Javed Ahmadi,2,0,0,2,,,,,,3,5
apl0001,2,Kabul Zwanan,3.7,Hazratullah,Yousuf Zazai,Javed Ahmadi,1,0,0,1,,,,,,3,6
apl0001,2,Kabul Zwanan,4.1,Hazratullah,Zia-ur-Rehman,Javed Ahmadi,1,0,0,1,,,,,,4,1
apl0001,2,Kabul Zwanan,4.2,Javed Ahmadi,Zia-ur-Rehman,Hazratullah,0,0,0,0,,,,,,4,2
apl0001,2,Kabul Zwanan,4.3,Javed Ahmadi,Zia-ur-Rehman,Hazratullah,1,0,0,1,,,,,,4,3
apl0001,2,Kabul Zwanan,4.4,Hazratullah,Zia-ur-Rehman,Javed Ahmadi,4,0,0,4,,,,,,4,4
apl0001,2,Kabul Zwanan,4.5,Hazratullah,Zia-ur-Rehman,Javed Ahmadi,0,0,0,0,,,,,,4,5
apl0001,2,Kabul Zwanan,4.6,Hazratullah,Zia-ur-Rehman,Javed Ahmadi,4,0,0,4,,,,,,4,6
apl0001,2,Kabul Zwanan,5.1,Javed Ahmadi,Tahir Khan,Hazratullah,1,0,0,1,,,,,,5,1
apl0001,2,Kabul Zwanan,5.2,Hazratullah,Tahir Khan,Javed Ahmadi,4,0,0,4,,,,,,5,2
apl0001,2,Kabul Zwanan,5.3,Hazratullah,Tahir Khan,Javed Ahmadi,6,0,0,6,,,,,,5,3
apl0001,2,Kabul Zwanan,5.4,Hazratullah,Tahir Khan,Javed Ahmadi,0,0,0,0,Yousuf Zazai,caught,Hazratullah,,,5,4
apl0001,2,Kabul Zwanan,5.5,LJ Evans,Tahir Khan,Javed Ahmadi,0,0,0,0,,,,,,5,5
apl0001,2,Kabul Zwanan,5.6,LJ Evans,Tahir Khan,Javed Ahmadi,0,0,0,0,,,,,,5,6
apl0001,2,Kabul Zwanan,6.1,Javed Ahmadi,Shahid Afridi,LJ Evans,0,0,0,0,,,,,,6,1
apl0001,2,Kabul Zwanan,6.2,Javed Ahmadi,Shahid Afridi,LJ Evans,1,0,0,1,,,,,,6,2
apl0001,2,Kabul Zwanan,6.3,LJ Evans,Shahid Afridi,Javed Ahmadi,1,0,0,1,,,,,,6,3
apl0001,2,Kabul Zwanan,6.4,Javed Ahmadi,Shahid Afridi,LJ Evans,6,0,0,6,,,,,,6,4
apl0001,2,Kabul Zwanan,6.5,Javed Ahmadi,Shahid Afridi,LJ Evans,1,0,0,1,,,,,,6,5
apl0001,2,Kabul Zwanan,6.6,LJ Evans,Shahid Afridi,Javed Ahmadi,1,0,0,1,,,,,,6,6
apl0001,2,Kabul Zwanan,7.1,LJ Evans,Tahir Khan,Javed Ahmadi,1,0,0,1,,,,,,7,1
apl0001,2,Kabul Zwanan,7.2,Javed Ahmadi,Tahir Khan,LJ Evans,0,0,0,0,,,,,,7,2
apl0001,2,Kabul Zwanan,7.3,Javed Ahmadi,Tahir Khan,LJ Evans,6,0,0,6,,,,,,7,3
apl0001,2,Kabul Zwanan,7.4,Javed Ahmadi,Tahir Khan,LJ Evans,0,0,0,0,Samiullah Shenwari,caught,Javed Ahmadi,,,7,4
apl0001,2,Kabul Zwanan,7.5,Shahidullah,Tahir Khan,LJ Evans,0,0,0,0,,,,,,7,5
apl0001,2,Kabul Zwanan,7.6,Shahidullah,Tahir Khan,LJ Evans,2,0,0,2,,,,,,7,6
apl0001,2,Kabul Zwanan,8.1,LJ Evans,Shahid Afridi,Shahidullah,4,0,0,4,,,,,,8,1
apl0001,2,Kabul Zwanan,8.2,LJ Evans,Shahid Afridi,Shahidullah,4,0,0,4,,,,,,8,2
apl0001,2,Kabul Zwanan,8.3,LJ Evans,Shahid Afridi,Shahidullah,1,0,0,1,,,,,,8,3
apl0001,2,Kabul Zwanan,8.4,Shahidullah,Shahid Afridi,LJ Evans,0,0,0,0,,,,,,8,4
apl0001,2,Kabul Zwanan,8.5,Shahidullah,Shahid Afridi,LJ Evans,6,0,0,6,,,,,,8,5
apl0001,2,Kabul Zwanan,8.6,Shahidullah,Shahid Afridi,LJ Evans,2,0,0,2,,,,,,8,6
apl0001,2,Kabul Zwanan,9.1,LJ Evans,Sikandar Raza,Shahidullah,0,0,0,0,,,,,,9,1
apl0001,2,Kabul Zwanan,9.2,LJ Evans,Sikandar Raza,Shahidullah,6,0,0,6,,,,,,9,2
apl0001,2,Kabul Zwanan,9.3,LJ Evans,Sikandar Raza,Shahidullah,1,0,0,1,,,,,,9,3
apl0001,2,Kabul Zwanan,9.4,Shahidullah,Sikandar Raza,LJ Evans,1,0,0,1,,,,,,9,4
apl0001,2,Kabul Zwanan,9.5,LJ Evans,Sikandar Raza,Shahidullah,0,0,0,0,,,,,,9,5
apl0001,2,Kabul Zwanan,9.6,LJ Evans,Sikandar Raza,Shahidullah,6,0,0,6,,,,,,9,6
apl0001,2,Kabul Zwanan,10.1,Shahidullah,Zia-ur-Rehman,LJ Evans,0,0,0,0,,,,,,10,1
apl0001,2,Kabul Zwanan,10.2,Shahidullah,Zia-ur-Rehman,LJ Evans,1,0,0,1,,,,,,10,2
apl0001,2,Kabul Zwanan,10.3,LJ Evans,Zia-ur-Rehman,Shahidullah,1,0,0,1,,,,,,10,3
