key,team
cpl0224,Jamaica Tallawahs
cpl0225,St Lucia Zouks
cpl0225,Trinbago Knight Riders
cpl0226,Guyana Amazon Warriors
cpl0226,Trinbago Knight Riders
cpl0227,St Kitts and Nevis Patriots
cpl0227,St Lucia Zouks
cpl0228,Jamaica Tallawahs
cpl0228,St Kitts and Nevis Patriots
cpl0229,Barbados Tridents
cpl0229,Trinbago Knight Riders
cpl0230,St Kitts and Nevis Patriots
cpl0230,Guyana Amazon Warriors
cpl0231,St Lucia Zouks
cpl0231,Barbados Tridents
cpl0232,Barbados Tridents
cpl0232,Guyana Amazon Warriors
cpl0233,Trinbago Knight Riders
cpl0233,Jamaica Tallawahs
cpl0234,St Lucia Zouks
cpl0234,Guyana Amazon Warriors
cpl0235,Trinbago Knight Riders
cpl0235,St Kitts and Nevis Patriots
cpl0236,Barbados Tridents
cpl0236,Guyana Amazon Warriors
cpl0237,St Kitts and Nevis Patriots
cpl0237,Jamaica Tallawahs
cpl0238,Jamaica Tallawahs
cpl0238,Barbados Tridents
cpl0239,Trinbago Knight Riders
cpl0239,St Lucia Zouks
cpl0240,St Lucia Zouks
cpl0240,Jamaica Tallawahs
cpl0241,St Kitts and Nevis Patriots
cpl0241,Trinbago Knight Riders
cpl0242,Guyana Amazon Warriors
cpl0242,St Lucia Zouks
cpl0243,Jamaica Tallawahs
cpl0243,Trinbago Knight Riders
cpl0244,St Lucia Zouks
cpl0244,Trinbago Knight Riders
cpl0245,St Kitts and Nevis Patriots
cpl0245,Barbados Royals
cpl0246,Guyana Amazon Warriors
cpl0246,Trinbago Knight Riders
cpl0247,Barbados Royals
cpl0247,Trinbago Knight Riders
cpl0248,Jamaica Tallawahs
cpl0248,St Lucia Kings
cpl0249,Barbados Royals
cpl0249,Jamaica Tallawahs
cpl0250,Guyana Amazon Warriors
cpl0250,St Kitts and Nevis Patriots
cpl0251,Guyana Amazon Warriors
cpl0251,St Kitts and Nevis Patriots
cpl0252,St Lucia Kings
cpl0252,Trinbago Knight Riders
cpl0253,Barbados Royals
cpl0253,Jamaica Tallawahs
cpl0254,Trinbago Knight Riders
cpl0254,St Lucia Kings
cpl0255,Jamaica Tallawahs
cpl0255,St Kitts and Nevis Patriots
cpl0256,Trinbago Knight Riders
cpl0256,Guyana Amazon Warriors
cpl0257,Barbados Royals
cpl0257,St Kitts and Nevis Patriots
cpl0258,St Lucia Kings
cpl0258,Guyana Amazon Warriors
cpl0259,Barbados Royals
cpl0259,Guyana Amazon Warriors
cpl0260,St Lucia Kings
cpl0260,St Kitts and Nevis Patriots
cpl0261,Jamaica Tallawahs
cpl0261,Trinbago Knight Riders
cpl0262,St Kitts and Nevis Patriots
cpl0262,St Lucia Kings
cpl0263,Barbados Royals
cpl0263,Guyana Amazon Warriors
cpl0264,Trinbago Knight Riders
cpl0264,Jamaica Tallawahs
cpl0265,Guyana Amazon Warriors
cpl0265,St Lucia Kings
cpl0266,Jamaica Tallawahs
cpl0266,St Kitts and Nevis Patriots
cpl0267,Jamaica Tallawahs
cpl0267,St Lucia Kings
cpl0268,Barbados Royals
cpl0268,Trinbago Knight Riders
cpl0269,Trinbago Knight Riders
cpl0269,St Kitts and Nevis Patriots
cpl0270,Guyana Amazon Warriors
cpl0270,Jamaica Tallawahs
cpl0271,St Lucia Kings
cpl0271,Barbados Royals
cpl0272,St Kitts and Nevis Patriots
cpl0272,Trinbago Knight Riders
cpl0273,Guyana Amazon Warriors
cpl0273,Jamaica Tallawahs
cpl0274,St Lucia Kings
cpl0274,Barbados Royals
cpl0275,Guyana Amazon Warriors
cpl0275,St Kitts and Nevis Patriots
cpl0276,St Lucia Kings
cpl0276,Trinbago Knight Riders
cpl0277,St Lucia Kings
cpl0277,St Kitts and Nevis Patriots
cpl0278,St Lucia Kings
cpl0278,St Kitts and Nevis Patriots
cpl0279,Jamaica Tallawahs
cpl0279,St Kitts and Nevis Patriots
cpl0280,St Lucia Kings
cpl0280,Trinbago Knight Riders
cpl0281,St Lucia Kings
cpl0281,Trinbago Knight Riders
cpl0282,Guyana Amazon Warriors
cpl0282,Jamaica Tallawahs
cpl0283,Barbados Royals
cpl0283,St Lucia Kings
cpl0284,Jamaica Tallawahs
cpl0284,St Lucia Kings
cpl0285,Barbados Royals
cpl0285,Trinbago Knight Riders
cpl0286,St Lucia Kings
cpl0286,Barbados Royals
cpl0287,Guyana Amazon Warriors
cpl0287,St Kitts and Nevis Patriots
cpl0288,St Lucia Kings
cpl0288,Guyana Amazon Warriors
cpl0289,Jamaica Tallawahs
cpl0289,Trinbago Knight Riders
cpl0290,St Lucia Kings
cpl0290,St Kitts and Nevis Patriots
cpl0291,Jamaica Tallawahs
cpl0291,Barbados Royals
cpl0292,Trinbago Knight Riders
cpl0292,Barbados Royals
cpl0293,Trinbago Knight Riders
cpl0293,Guyana Amazon Warriors
cpl0294,Jamaica Tallawahs
cpl0294,St Kitts and Nevis Patriots
cpl0295,Barbados Royals
cpl0295,Jamaica Tallawahs
cpl0296,Jamaica Tallawahs
cpl0296,Trinbago Knight Riders
cpl0297,St Lucia Kings
cpl0297,St Kitts and Nevis Patriots
cpl0298,St Lucia Kings
cpl0298,Trinbago Knight Riders
cpl0299,Barbados Royals
cpl0299,Guyana Amazon Warriors
cpl0300,Barbados Royals
cpl0300,St Kitts and Nevis Patriots
cpl0301,Barbados Royals
cpl0301,St Kitts and Nevis Patriots
cpl0302,St Lucia Kings
cpl0302,Guyana Amazon Warriors
cpl0303,St Kitts and Nevis Patriots
cpl0303,Trinbago Knight Riders
cpl0304,Guyana Amazon Warriors
cpl0304,Trinbago Knight Riders
cpl0305,Barbados Royals
cpl0305,Guyana Amazon Warriors
cpl0306,Barbados Royals
cpl0306,Guyana Amazon Warriors
cpl0307,Barbados Royals
cpl0307,Guyana Amazon Warriors
cpl0308,Jamaica Tallawahs
cpl0308,Guyana Amazon Warriors
cpl0309,Barbados Royals
cpl0309,Jamaica Tallawahs
cpl0310,Jamaica Tallawahs
cpl0310,St Lucia Kings
cpl0311,St Lucia Kings
cpl0311,Barbados Royals
cpl0312,Guyana Amazon Warriors
cpl0312,St Lucia Kings
cpl0313,Trinbago Knight Riders
cpl0313,St Kitts and Nevis Patriots
cpl0314,St Kitts and Nevis Patriots
cpl0314,Jamaica Tallawahs
cpl0315,Guyana Amazon Warriors
cpl0315,St Kitts and Nevis Patriots
cpl0316,St Kitts and Nevis Patriots
cpl0316,Barbados Royals
cpl0317,St Lucia Kings
cpl0317,Trinbago Knight Riders
cpl0318,St Kitts and Nevis Patriots
cpl0318,Trinbago Knight Riders
cpl0319,Guyana Amazon Warriors
cpl0319,Jamaica Tallawahs
cpl0320,Trinbago Knight Riders
cpl0320,Barbados Royals
cpl0321,Jamaica Tallawahs
cpl0321,Barbados Royals
cpl0322,St Lucia Kings
cpl0322,Barbados Royals
cpl0323,Guyana Amazon Warriors
cpl0323,St Kitts and Nevis Patriots
cpl0324,St Kitts and Nevis Patriots
cpl0324,Barbados Royals
cpl0325,Trinbago Knight Riders
cpl0325,Jamaica Tallawahs
cpl0326,Trinbago Knight Riders
cpl0326,Guyana Amazon Warriors
cpl0327,Trinbago Knight Riders
cpl0327,Barbados Royals
cpl0328,Jamaica Tallawahs
cpl0328,Trinbago Knight Riders
cpl0329,St Lucia Kings
cpl0329,St Kitts and Nevis Patriots
cpl0330,St Lucia Kings
cpl0330,Trinbago Knight Riders
cpl0331,Guyana Amazon Warriors
cpl0331,Barbados Royals
cpl0332,Jamaica Tallawahs
cpl0332,Guyana Amazon Warriors
cpl0333,Guyana Amazon Warriors
cpl0333,St Lucia Kings
cpl0334,Trinbago Knight Riders
cpl0334,Guyana Amazon Warriors
cpl0335,Jamaica Tallawahs
cpl0335,St Kitts and Nevis Patriots
cpl0336,Guyana Amazon Warriors
cpl0336,Barbados Royals
cpl0337,Jamaica Tallawahs
cpl0337,St Lucia Kings
cpl0338,St Lucia Kings
cpl0338,Jamaica Tallawahs
cpl0339,Guyana Amazon Warriors
cpl0339,Trinbago Knight Riders
cpl0340,Guyana Amazon Warriors
cpl0340,Jamaica Tallawahs
cpl0341,Trinbago Knight Riders
cpl0341,Guyana Amazon Warriors
cpl0342,Antigua and Barbuda Falcons
cpl0342,St Kitts and Nevis Patriots
