key_id,by_type,by_margin,bowl_out,eliminator,method,result,winner
t20s0490,wickets,6.0,,,,,Pakistan
t20s0491,wickets,7.0,,,,,South Africa
t20s0492,wickets,7.0,,,,,Bangladesh
t20s0493,wickets,5.0,,,,,Pakistan
t20s0494,runs,5.0,,,D/L,,Sri Lanka
t20s0495,wickets,2.0,,,,,Pakistan
t20s0496,wickets,8.0,,,,,West Indies
t20s0497,wickets,9.0,,,,,West Indies
t20s0498,wickets,6.0,,,,,Scotland
t20s0499,runs,56.0,,,,,England
t20s0500,runs,103.0,,,,,Netherlands
t20s0501,runs,18.0,,,,,Netherlands
t20s0502,runs,52.0,,,,,South Africa
t20s0503,runs,31.0,,,,,South Africa
t20s0504,runs,32.0,,,,,Afghanistan
t20s0505,wickets,9.0,,,,,Scotland
t20s0506,wickets,8.0,,,,,Afghanistan
t20s0507,runs,32.0,,,,,Netherlands
t20s0508,runs,37.0,,,,,Afghanistan
t20s0509,wickets,7.0,,,,,Netherlands
t20s0510,wickets,8.0,,,,,Ireland
t20s0511,wickets,5.0,,,,,Hong Kong
t20s0512,wickets,2.0,,,,,Papua New Guinea
t20s0513,runs,54.0,,,,,India
t20s0514,runs,5.0,,,,,Hong Kong
t20s0515,wickets,8.0,,,,,Papua New Guinea
t20s0516,runs,10.0,,,,,Zimbabwe
t20s0517,wickets,5.0,,,,,Hong Kong
t20s0518,wickets,6.0,,,,,Afghanistan
t20s0519,wickets,5.0,,,,,Netherlands
t20s0520,wickets,5.0,,,,,Afghanistan
t20s0521,wickets,5.0,,,,,Scotland
t20s0522,runs,29.0,,,,,Pakistan
t20s0523,wickets,1.0,,,,,Pakistan
t20s0524,runs,80.0,,,,,New Zealand
t20s0525,wickets,6.0,,,,,South Africa
t20s0526,runs,32.0,,,,,New Zealand
t20s0527,runs,25.0,,,,,Australia
t20s0528,runs,55.0,,,,,Australia
t20s0529,runs,99.0,,,,,Australia
t20s0530,wickets,7.0,,,,,England
t20s0531,runs,20.0,,,,,Australia
t20s0532,wickets,5.0,,,,,England
t20s0533,runs,5.0,,,,,England
t20s0534,runs,13.0,,,,,Pakistan
t20s0535,runs,15.0,,,,,Pakistan
t20s0536,runs,29.0,,,,,Pakistan
t20s0537,runs,34.0,,,,,Pakistan
t20s0538,wickets,7.0,,,,,South Africa
t20s0539,wickets,6.0,,,,,South Africa
t20s0540,wickets,6.0,,,,,Afghanistan
t20s0541,wickets,5.0,,,,,Afghanistan
t20s0542,wickets,8.0,,,,,West Indies
t20s0543,runs,30.0,,,,,Sri Lanka
t20s0544,runs,23.0,,,,,West Indies
t20s0545,wickets,4.0,,,,,Bangladesh
t20s0546,wickets,3.0,,,,,Zimbabwe
t20s0547,wickets,6.0,,,,,Oman
t20s0548,wickets,7.0,,,,,United Arab Emirates
t20s0549,runs,4.0,,,,,Oman
t20s0550,wickets,8.0,,,,,Hong Kong
t20s0551,runs,14.0,,,,,England
t20s0552,runs,3.0,,,,,England
t20s0553,runs,12.0,,,,,Afghanistan
t20s0554,,,,England,,tie,
t20s0555,wickets,2.0,,,,,Ireland
t20s0556,runs,3.0,,,,,New Zealand
t20s0557,runs,5.0,,,,,Afghanistan
t20s0558,runs,81.0,,,,,Afghanistan
t20s0559,wickets,9.0,,,,,New Zealand
t20s0560,wickets,4.0,,,,,Bangladesh
t20s0561,runs,16.0,,,,,Pakistan
t20s0562,runs,42.0,,,,,Bangladesh
t20s0563,wickets,10.0,,,,,New Zealand
t20s0564,runs,31.0,,,,,Zimbabwe
t20s0565,runs,18.0,,,,,Zimbabwe
t20s0566,runs,95.0,,,,,New Zealand
t20s0567,runs,37.0,,,,,India
t20s0568,runs,27.0,,,,,India
t20s0569,wickets,10.0,,,D/L,,India
t20s0570,wickets,9.0,,,,,Hong Kong
t20s0571,runs,37.0,,,,,Scotland
t20s0572,wickets,7.0,,,,,India
t20s0573,runs,15.0,,,,,Australia
t20s0574,runs,84.0,,,,,Netherlands
t20s0575,runs,9.0,,,,,United Arab Emirates
t20s0576,runs,7.0,,,D/L,,Ireland
t20s0577,wickets,5.0,,,,,Sri Lanka
t20s0578,runs,11.0,,,,,Papua New Guinea
t20s0579,runs,69.0,,,,,India
t20s0580,wickets,9.0,,,,,India
t20s0581,runs,34.0,,,,,Ireland
t20s0582,runs,5.0,,,,,United Arab Emirates
t20s0583,runs,15.0,,,,,England
t20s0584,runs,5.0,,,,,Oman
t20s0585,runs,16.0,,,,,United Arab Emirates
t20s0586,wickets,3.0,,,,,South Africa
t20s0587,wickets,3.0,,,,,Afghanistan
t20s0588,wickets,6.0,,,,,United Arab Emirates
t20s0589,wickets,4.0,,,,,England
t20s0590,wickets,9.0,,,,,South Africa
t20s0591,runs,71.0,,,,,United Arab Emirates
t20s0592,runs,66.0,,,,,Afghanistan
t20s0593,runs,45.0,,,,,India
t20s0594,runs,14.0,,,,,Sri Lanka
t20s0595,runs,51.0,,,,,Bangladesh
t20s0596,wickets,5.0,,,,,India
t20s0597,runs,23.0,,,,,Bangladesh
t20s0598,wickets,7.0,,,,,Pakistan
t20s0599,wickets,5.0,,,,,India
t20s0600,wickets,5.0,,,,,Bangladesh
