key,umpire
t20s0493,Ahsan Raza
t20s0493,Shozab Raza
t20s0494,PN Udawatta
t20s0494,RR Wimalasiri
t20s0495,Ahmed Shahab
t20s0495,Ahsan Raza
t20s0496,RD Kottahachchi
t20s0496,REJ Martinesz
t20s0497,RA Kottahachchi
t20s0497,RR Wimalasiri
t20s0498,M Hawthorne
t20s0498,NJ Llong
t20s0499,RJ Bailey
t20s0499,RT Robinson
t20s0500,Sarika Prasad
t20s0500,C Shamshuddin
t20s0501,Sarika Prasad
t20s0501,C Shamshuddin
t20s0502,Enamul Haque
t20s0502,Sharfuddoula
t20s0503,Anisur Rahman
t20s0503,Enamul Haque
t20s0504,GO Brathwaite
t20s0504,D Odhiambo
t20s0505,Ahsan Raza
t20s0505,S George
t20s0506,NJ Llong
t20s0506,IN Ramage
t20s0507,VA Kulkarni
t20s0507,D Odhiambo
t20s0508,Ahsan Raza
t20s0508,GO Brathwaite
t20s0509,VA Kulkarni
t20s0509,NJ Llong
t20s0510,AK Chaudhary
