key,toss_winner,toss_decision,decision,winner
ntb0587,,,field,Derbyshire
ntb0588,,,field,Glamorgan
ntb0589,,,field,Surrey
ntb0590,,,field,Nottinghamshire
ntb0591,,,field,Durham
ntb0592,,,field,Kent
ntb0593,,,field,Hampshire
ntb0594,,,field,Glamorgan
ntb0595,,,bat,Hampshire
ntb0596,,,bat,Lancashire
ntb0597,,,bat,Gloucestershire
ntb0598,,,bat,Northamptonshire
ntb0599,,,field,Essex
ntb0600,,,field,Somerset
ntb0601,,,field,Northamptonshire
ntb0602,,,field,Middlesex
ntb0603,,,bat,Glamorgan
ntb0604,,,bat,Yorkshire
ntb0605,,,field,Birmingham Bears
ntb0606,,,field,Kent
ntb0607,,,field,Hampshire
ntb0608,,,bat,Kent
ntb0609,,,bat,Durham
ntb0610,,,field,Worcestershire
ntb0611,,,field,Nottinghamshire
ntb0612,,,bat,Sussex
ntb0613,,,field,Lancashire
ntb0614,,,bat,Sussex
ntb0615,,,field,Somerset
ntb0616,,,bat,Worcestershire
ntb0617,,,field,Middlesex
ntb0618,,,field,Gloucestershire
ntb0619,,,field,Surrey
ntb0620,,,field,Northamptonshire
ntb0621,,,bat,Yorkshire
ntb0622,,,bat,Kent
ntb0623,,,bat,Hampshire
ntb0624,,,field,Birmingham Bears
ntb0625,,,bat,Lancashire
ntb0626,,,bat,Middlesex
ntb0627,,,field,Leicestershire
ntb0628,,,bat,Northamptonshire
ntb0629,,,field,Hampshire
ntb0630,,,field,Derbyshire
ntb0631,,,field,Glamorgan
ntb0632,,,bat,Middlesex
ntb0633,,,bat,Lancashire
ntb0634,,,field,Middlesex
ntb0635,,,field,Surrey
ntb0636,,,field,Derbyshire
ntb0637,,,bat,Kent
ntb0638,,,bat,Worcestershire
ntb0639,,,bat,Leicestershire
ntb0640,,,field,Hampshire
ntb0641,,,field,Birmingham Bears
ntb0642,,,field,Nottinghamshire
ntb0643,,,field,Somerset
ntb0644,,,field,Worcestershire
ntb0645,,,field,Kent
ntb0646,,,field,Durham
ntb0647,,,field,Worcestershire
ntb0648,,,field,Gloucestershire
ntb0649,,,field,Middlesex
ntb0650,,,field,Hampshire
ntb0651,,,bat,Nottinghamshire
ntb0652,,,bat,Hampshire
ntb0653,,,bat,Durham
ntb0654,,,bat,Essex
ntb0655,,,bat,Northamptonshire
ntb0656,,,field,Somerset
ntb0657,,,field,Sussex
ntb0658,,,bat,Yorkshire
ntb0659,,,bat,Lancashire
ntb0660,,,field,Worcestershire
ntb0661,,,field,Yorkshire
ntb0662,,,field,Sussex
ntb0663,,,field,Somerset
ntb0664,,,field,Kent
ntb0665,,,bat,Glamorgan
ntb0666,,,bat,Leicestershire
ntb0667,,,field,Durham
ntb0668,,,bat,Somerset
ntb0669,,,field,Gloucestershire
ntb0670,,,field,Surrey
ntb0671,,,bat,Leicestershire
ntb0672,,,field,Nottinghamshire
ntb0673,,,field,Sussex
ntb0674,,,bat,Gloucestershire
ntb0675,,,field,Hampshire
ntb0676,,,field,Glamorgan
ntb0677,,,bat,Durham
