key,by_innings,by_type,by_margin,bowl_out,eliminator,method,result,winner
ntb0322,,wickets,9.0,,,,,Leicestershire
ntb0323,,runs,2.0,,,,,Yorkshire
ntb0324,,wickets,9.0,,,,,Nottinghamshire
ntb0325,,runs,1.0,,,,,Yorkshire
ntb0326,,wickets,5.0,,,,,Durham
ntb0327,,wickets,9.0,,,,,Gloucestershire
ntb0328,,wickets,6.0,,,,,Derbyshire
ntb0329,,runs,25.0,,,,,Hampshire
ntb0330,,wickets,3.0,,,,,Nottinghamshire
ntb0331,,wickets,8.0,,,,,Kent
ntb0332,,wickets,6.0,,,,,Durham
ntb0333,,wickets,5.0,,,,,Middlesex
ntb0334,,runs,9.0,,,,,Leicestershire
ntb0335,,runs,1.0,,,,,Hampshire
ntb0336,,wickets,5.0,,,,,Worcestershire
ntb0337,,runs,28.0,,,,,Warwickshire
ntb0338,,runs,30.0,,,,,Gloucestershire
ntb0339,,runs,74.0,,,,,Northamptonshire
ntb0340,,runs,49.0,,,,,Yorkshire
ntb0341,,runs,24.0,,,,,Sussex
ntb0342,,wickets,5.0,,,,,Middlesex
ntb0343,,runs,29.0,,,,,Derbyshire
ntb0344,,wickets,6.0,,,,,Surrey
ntb0345,,wickets,7.0,,,,,Glamorgan
ntb0346,,wickets,6.0,,,,,Nottinghamshire
ntb0347,,runs,75.0,,,,,Yorkshire
ntb0348,,runs,43.0,,,,,Middlesex
ntb0349,,runs,4.0,,,,,Lancashire
ntb0350,,runs,33.0,,,,,Essex
ntb0351,,,,,,,no result,
ntb0352,,wickets,5.0,,,,,Essex
ntb0353,,runs,14.0,,,,,Yorkshire
ntb0354,,runs,83.0,,,,,Hampshire
ntb0355,,wickets,4.0,,,,,Gloucestershire
ntb0356,,wickets,8.0,,,D/L,,Nottinghamshire
ntb0357,,runs,37.0,,,,,Surrey
ntb0358,,,,,,,no result,
ntb0359,,runs,13.0,,,,,Durham
ntb0360,,runs,30.0,,,,,Lancashire
ntb0361,,runs,39.0,,,,,Nottinghamshire
ntb0362,,wickets,7.0,,,,,Northamptonshire
ntb0363,,runs,19.0,,,,,Durham
ntb0364,,runs,90.0,,,,,Yorkshire
ntb0365,,wickets,4.0,,,,,Northamptonshire
ntb0366,,runs,7.0,,,,,Durham
ntb0367,,runs,8.0,,,,,Northamptonshire
ntb0368,,wickets,7.0,,,,,Derbyshire
ntb0369,,wickets,8.0,,,,,Warwickshire
ntb0370,,,,,,,tie,
ntb0371,,runs,22.0,,,,,Hampshire
