winner,by.runs,key,by.wickets,result,method
Warwickshire,,ntb00485,6.0,,
Nottinghamshire,22.0,ntb00486,,,
Warwickshire,11.0,ntb00487,,,
Nottinghamshire,23.0,ntb00488,,,
Sussex,36.0,ntb00489,,,
Birmingham Bears,,ntb00490,8.0,,
Leicestershire,,ntb00491,4.0,,
Yorkshire,44.0,ntb00492,,,
Worcestershire,,ntb00493,5.0,,
Middlesex,,ntb00494,3.0,,
Lancashire,,ntb00495,9.0,,
Durham,33.0,ntb00496,,,
Somerset,,ntb00497,6.0,,
Nottinghamshire,58.0,ntb00498,,,
Kent,6.0,ntb00499,,,
Glamorgan,63.0,ntb00500,,,
Worcestershire,4.0,ntb00501,,,
Essex,,ntb00502,3.0,,
Nottinghamshire,19.0,ntb00503,,,
Kent,,ntb00504,8.0,,
Worcestershire,,ntb00505,6.0,,
Birmingham Bears,,ntb00506,8.0,,
Sussex,,ntb00507,8.0,,
Lancashire,,ntb00508,8.0,,
Gloucestershire,,ntb00509,6.0,,
Gloucestershire,5.0,ntb00510,,,
Sussex,,ntb00511,8.0,,
Surrey,39.0,ntb00512,,,
Gloucestershire,,ntb00513,4.0,,
Kent,3.0,ntb00514,,,
Glamorgan,,ntb00515,2.0,,
Leicestershire,100.0,ntb00516,,,
Yorkshire,10.0,ntb00517,,,
Worcestershire,41.0,ntb00518,,,
Surrey,52.0,ntb00519,,,
Nottinghamshire,39.0,ntb00520,,,D/L
Lancashire,12.0,ntb00521,,,
Yorkshire,12.0,ntb00522,,,
Durham,18.0,ntb00523,,,
Durham,34.0,ntb00524,,,
Lancashire,,ntb00525,8.0,,
Somerset,,ntb00526,4.0,,
Derbyshire,31.0,ntb00527,,,
Leicestershire,17.0,ntb00528,,,
Somerset,30.0,ntb00529,,,
Durham,,ntb00530,7.0,,
,,ntb00531,,tie,
,,ntb00532,,no result,
,,ntb00533,,no result,
Hampshire,21.0,ntb00534,,,
Lancashire,1.0,ntb00535,,,
,,ntb00536,,tie,
Middlesex,22.0,ntb00537,,,
Nottinghamshire,16.0,ntb00538,,,D/L
Worcestershire,,ntb00539,9.0,,
Derbyshire,,ntb00540,6.0,,
Yorkshire,31.0,ntb00541,,,D/L
,,ntb00542,,no result,
Surrey,,ntb00543,9.0,,
Gloucestershire,30.0,ntb00544,,,
Derbyshire,,ntb00545,5.0,,
Durham,,ntb00546,7.0,,
Somerset,38.0,ntb00547,,,D/L
Derbyshire,77.0,ntb00548,,,
Yorkshire,60.0,ntb00549,,,
Glamorgan,,ntb00550,4.0,,
Somerset,16.0,ntb00551,,,
Gloucestershire,,ntb00552,4.0,,
Kent,28.0,ntb00553,,,
Durham,75.0,ntb00554,,,
Sussex,12.0,ntb00555,,,
Birmingham Bears,,ntb00556,8.0,,
Nottinghamshire,9.0,ntb00557,,,
Derbyshire,16.0,ntb00558,,,
Somerset,,ntb00559,10.0,,
Worcestershire,,ntb00560,3.0,,
Leicestershire,,ntb00561,5.0,,
Yorkshire,,ntb00562,6.0,,
Kent,51.0,ntb00563,,,
Surrey,,ntb00564,9.0,,
Worcestershire,72.0,ntb00565,,,
Gloucestershire,,ntb00566,8.0,,
Surrey,,ntb00567,6.0,,
Birmingham Bears,17.0,ntb00568,,,
Glamorgan,,ntb00569,7.0,,
Somerset,,ntb00570,3.0,,
Glamorgan,6.0,ntb00571,,,
Durham,4.0,ntb00572,,,
Somerset,,ntb00573,6.0,,
Durham,14.0,ntb00574,,,
Northamptonshire,,ntb00575,7.0,,
Birmingham Bears,,ntb00576,6.0,,
Lancashire,,ntb00577,6.0,,
,,ntb00578,,no result,
Worcestershire,16.0,ntb00579,,,
Gloucestershire,70.0,ntb00580,,,
Nottinghamshire,63.0,ntb00581,,,
Leicestershire,5.0,ntb00582,,,
Durham,12.0,ntb00583,,,
Glamorgan,,ntb00584,8.0,,
Somerset,,ntb00585,4.0,,
Lancashire,37.0,ntb00586,,,
,,ntb00587,,no result,
Somerset,29.0,ntb00588,,,
Gloucestershire,5.0,ntb00589,,,
,,ntb00590,,no result,
Lancashire,65.0,ntb00591,,,
Kent,,ntb00592,3.0,,
Nottinghamshire,,ntb00593,5.0,,
Sussex,98.0,ntb00594,,,
Birmingham Bears,,ntb00595,7.0,,
Surrey,,ntb00596,7.0,,
Kent,5.0,ntb00597,,,
Essex,,ntb00598,6.0,,
Yorkshire,,ntb00599,7.0,,
Sussex,,ntb00600,4.0,,
Sussex,31.0,ntb00601,,,
Nottinghamshire,,ntb00602,8.0,,
Northamptonshire,,ntb00603,4.0,,
Surrey,24.0,ntb00604,,,D/L
Kent,,ntb00605,5.0,,
Hampshire,,ntb00606,6.0,,
Worcestershire,15.0,ntb00607,,,
Lancashire,,ntb00608,6.0,,
Sussex,,ntb00609,5.0,,
Worcestershire,,ntb00610,5.0,,
Somerset,19.0,ntb00611,,,
Worcestershire,,ntb00612,5.0,,
Sussex,35.0,ntb00613,,,
Worcestershire,20.0,ntb00614,,,
Middlesex,,ntb00615,7.0,,
Worcestershire,28.0,ntb00616,,,
Somerset,,ntb00617,8.0,,
Durham,7.0,ntb00618,,,
Essex,52.0,ntb00619,,,
,,ntb00620,,no result,
Kent,41.0,ntb00621,,,
Derbyshire,,ntb00622,5.0,,
Kent,,ntb00623,2.0,,
Lancashire,72.0,ntb00624,,,
Birmingham Bears,,ntb00625,7.0,,
Middlesex,37.0,ntb00626,,,
Yorkshire,54.0,ntb00627,,,
Birmingham Bears,49.0,ntb00628,,,
Sussex,14.0,ntb00629,,,
Nottinghamshire,,ntb00630,7.0,,
Lancashire,9.0,ntb00631,,,
Gloucestershire,,ntb00632,2.0,,
Surrey,97.0,ntb00633,,,
Middlesex,,ntb00634,8.0,,
,,ntb00635,,tie,
Nottinghamshire,27.0,ntb00636,,,
Hampshire,,ntb00637,4.0,,
Lancashire,21.0,ntb00638,,,D/L
Durham,,ntb00639,9.0,,
Kent,22.0,ntb00640,,,
Northamptonshire,21.0,ntb00641,,,D/L
Leicestershire,21.0,ntb00642,,,
Worcestershire,,ntb00643,9.0,,
Sussex,13.0,ntb00644,,,
Kent,,ntb00645,9.0,,D/L
Worcestershire,,ntb00646,2.0,,
Durham,,ntb00647,8.0,,
Hampshire,,ntb00648,7.0,,
Kent,28.0,ntb00649,,,
,,ntb00650,,tie,
Nottinghamshire,71.0,ntb00651,,,
Hampshire,41.0,ntb00652,,,
Lancashire,,ntb00653,5.0,,
Somerset,,ntb00654,8.0,,
Derbyshire,,ntb00655,6.0,,
Sussex,,ntb00656,9.0,,
Worcestershire,,ntb00657,5.0,,
Essex,25.0,ntb00658,,,
Lancashire,3.0,ntb00659,,,
Kent,,ntb00660,4.0,,
Middlesex,35.0,ntb00661,,,
Sussex,,ntb00662,3.0,,
Leicestershire,33.0,ntb00663,,,
,,ntb00664,,tie,
Sussex,,ntb00665,9.0,,
Leicestershire,55.0,ntb00666,,,
Gloucestershire,,ntb00667,5.0,,
Somerset,114.0,ntb00668,,,
Northamptonshire,21.0,ntb00669,,,
Middlesex,64.0,ntb00670,,,
Durham,7.0,ntb00671,,,
,,ntb00672,,no result,
Somerset,63.0,ntb00673,,,D/L
Sussex,,ntb00674,4.0,,
Nottinghamshire,28.0,ntb00675,,,D/L
,,ntb00676,,no result,
Gloucestershire,9.0,ntb00677,,,D/L
Somerset,55.0,ntb00678,,,
Derbyshire,55.0,ntb00679,,,
Birmingham Bears,15.0,ntb00680,,,
Middlesex,9.0,ntb00681,,,D/L
Surrey,,ntb00682,7.0,,
Derbyshire,20.0,ntb00683,,,
Gloucestershire,,ntb00684,7.0,,
Lancashire,,ntb00685,8.0,,
Surrey,26.0,ntb00686,,,
Leicestershire,55.0,ntb00687,,,
Worcestershire,3.0,ntb00688,,,
Essex,9.0,ntb00689,,,
Hampshire,,ntb00690,7.0,,
Gloucestershire,25.0,ntb00691,,,
Nottinghamshire,,ntb00692,7.0,,
Yorkshire,14.0,ntb00693,,,
Surrey,1.0,ntb00694,,,
Worcestershire,,ntb00695,9.0,,
Derbyshire,,ntb00696,9.0,,
Somerset,25.0,ntb00697,,,
Sussex,,ntb00698,8.0,,
Nottinghamshire,3.0,ntb00699,,,
Derbyshire,,ntb00700,9.0,,
,,ntb00701,,tie,
Lancashire,25.0,ntb00702,,,
Northamptonshire,,ntb00703,4.0,,
Derbyshire,11.0,ntb00704,,,
Sussex,,ntb00705,7.0,,
Surrey,,ntb00706,6.0,,
Birmingham Bears,,ntb00707,7.0,,D/L
Gloucestershire,5.0,ntb00708,,,
Essex,19.0,ntb00709,,,
Yorkshire,80.0,ntb00710,,,
Hampshire,,ntb00711,8.0,,
Northamptonshire,,ntb00712,7.0,,
Essex,10.0,ntb00713,,,
Yorkshire,19.0,ntb00714,,,
Gloucestershire,,ntb00715,3.0,,
Lancashire,,ntb00716,5.0,,
Durham,47.0,ntb00717,,,
Glamorgan,28.0,ntb00718,,,
Middlesex,,ntb00719,6.0,,
Essex,,ntb00720,6.0,,
Nottinghamshire,,ntb00721,10.0,,
Worcestershire,,ntb00722,8.0,,
Derbyshire,,ntb00723,7.0,,
Essex,,ntb00724,4.0,,
Worcestershire,1.0,ntb00725,,,
