balls_per_over,city,date,gender,match_type,overs,player_of_match,season,team_type,venue,key,missing
6,Nottingham,2015-06-05,male,T20,20,Umar Akmal,2015,club,Trent Bridge,ntb00156,
6,Beckenham,2015-06-05,male,T20,20,BAC Howell,2015,club,The Kent County Cricket Ground,ntb00157,
6,Cardiff,2015-06-05,male,T20,20,CAJ Meschede,2015,club,Sophia Gardens,ntb00158,
6,Derby,2015-06-05,male,T20,20,PD Collingwood,2015,club,County Ground,ntb00159,
6,Northampton,2015-06-05,male,T20,20,MM Ali,2015,club,County Ground,ntb00160,
6,Chester-le-Street,2015-06-06,male,T20,20,IR Bell,2015,club,Riverside Ground,ntb00161,
6,Worcester,2015-06-07,male,T20,20,SR Patel,2015,club,"County Ground, New Road",ntb00162,
6,Chelmsford,2015-06-11,male,T20,20,M Klinger,2015,club,County Ground,ntb00163,
6,Northampton,2015-06-11,male,T20,20,DJ Willey,2015,club,County Ground,ntb00164,
6,Hove,2015-06-12,male,T20,20,T Westley,2015,club,County Ground,ntb00165,
6,Canterbury,2015-06-12,male,T20,20,JM Vince,2015,club,St Lawrence Ground,ntb00166,
6,Leicester,2015-06-12,male,T20,20,,2015,club,Grace Road,ntb00167,
6,Manchester,2015-06-12,male,T20,20,SJ Croft,2015,club,Old Trafford,ntb00168,
6,Chester-le-Street,2015-06-12,male,T20,20,DKH Mitchell,2015,club,Riverside Ground,ntb00169,
6,Birmingham,2015-06-12,male,T20,20,WTS Porterfield,2015,club,Edgbaston,ntb00170,
6,Bristol,2015-06-12,male,T20,20,JA Rudolph,2015,club,County Ground,ntb00171,
6,Cardiff,2015-06-13,male,T20,20,TLW Cooper,2015,club,Sophia Gardens,ntb00172,
6,Richmond,2015-06-14,male,T20,20,IA Cockbain,2015,club,Old Deer Park,ntb00173,
6,,2015-06-14,male,T20,20,,2015,club,Arundel Castle Cricket Club Ground,ntb00174,
6,Leeds,2015-06-14,male,T20,20,Shahid Afridi,2015,club,Headingley,ntb00175,
6,Derby,2015-06-18,male,T20,20,WJ Durston,2015,club,County Ground,ntb00176,
6,Canterbury,2015-06-18,male,T20,20,SA Northeast,2015,club,St Lawrence Ground,ntb00177,
6,Manchester,2015-06-18,male,T20,20,DKH Mitchell,2015,club,Old Trafford,ntb00178,
6,London,2015-06-18,male,T20,20,OA Shah,2015,club,Lord's,ntb00179,
6,Worcester,2015-06-19,male,T20,20,MM Ali,2015,club,"County Ground, New Road",ntb00180,
6,London,2015-06-19,male,T20,20,DI Stevens,2015,club,Kennington Oval,ntb00181,
6,Northampton,2015-06-19,male,T20,20,JP Faulkner,2015,club,County Ground,ntb00182,
6,Leeds,2015-06-19,male,T20,20,GJ Maxwell,2015,club,Headingley,ntb00183,
6,Bristol,2015-06-19,male,T20,20,JG Myburgh,2015,club,County Ground,ntb00184,
6,Chelmsford,2015-06-19,male,T20,20,RS Bopara,2015,club,County Ground,ntb00185,
6,Birmingham,2015-06-19,male,T20,20,BA Raine,2015,club,Edgbaston,ntb00186,
6,Southampton,2015-06-19,male,T20,20,Craig Cachopa,2015,club,The Rose Bowl,ntb00187,
6,Birmingham,2015-06-21,male,T20,20,RO Gordon,2015,club,Edgbaston,ntb00188,
6,Cardiff,2015-06-21,male,T20,20,OE Robinson,2015,club,Sophia Gardens,ntb00189,
6,Chester-le-Street,2015-06-25,male,T20,20,AG Prince,2015,club,Riverside Ground,ntb00190,
6,Worcester,2015-06-26,male,T20,20,RK Kleinveldt,2015,club,"County Ground, New Road",ntb00191,
6,,2015-06-26,male,T20,20,J Allenby,2015,club,Uxbridge Cricket Club Ground,ntb00192,
6,Leicester,2015-06-26,male,T20,20,JA Leaning,2015,club,Grace Road,ntb00193,
6,Manchester,2015-06-26,male,T20,20,RO Gordon,2015,club,Old Trafford,ntb00194,
6,Cardiff,2015-06-26,male,T20,20,JJ Roy,2015,club,Sophia Gardens,ntb00195,
6,Chelmsford,2015-06-26,male,T20,20,JD Ryder,2015,club,County Ground,ntb00196,
6,Derby,2015-06-26,male,T20,20,CF Hughes,2015,club,County Ground,ntb00197,
6,Bristol,2015-06-26,male,T20,20,LJ Wright,2015,club,County Ground,ntb00198,
6,Nottingham,2015-06-27,male,T20,20,SR Patel,2015,club,Trent Bridge,ntb00199,
6,Taunton,2015-06-28,male,T20,20,CA Ingram,2015,club,The Cooper Associates County Ground,ntb00200,
6,London,2015-07-01,male,T20,20,Azhar Mahmood,2015,club,Kennington Oval,ntb00201,
6,London,2015-07-02,male,T20,20,TS Mills,2015,club,Lord's,ntb00202,
6,Hove,2015-07-03,male,T20,20,AJ Blake,2015,club,County Ground,ntb00203,
6,Taunton,2015-07-03,male,T20,20,HJH Marshall,2015,club,The Cooper Associates County Ground,ntb00204,
6,Nottingham,2015-07-03,male,T20,20,T Kohler-Cadmore,2015,club,Trent Bridge,ntb00205,
6,London,2015-07-03,male,T20,20,ZS Ansari,2015,club,Kennington Oval,ntb00206,
6,Southampton,2015-07-03,male,T20,20,JA Rudolph,2015,club,The Rose Bowl,ntb00207,
6,Chester-le-Street,2015-07-03,male,T20,20,MD Stoneman,2015,club,Riverside Ground,ntb00208,
6,Birmingham,2015-07-03,male,T20,20,BB McCullum,2015,club,Edgbaston,ntb00209,
6,Manchester,2015-07-03,male,T20,20,SD Parry,2015,club,Old Trafford,ntb00210,
6,Leicester,2015-07-04,male,T20,20,R Clarke,2015,club,Grace Road,ntb00211,
6,Chesterfield,2015-07-05,male,T20,20,WJ Durston,2015,club,Queen's Park,ntb00212,
6,Worcester,2015-07-05,male,T20,20,Saeed Ajmal,2015,club,"County Ground, New Road",ntb00213,
