decision,winner,key
field,Kent,ntb00592
field,Nottinghamshire,ntb00593
field,Glamorgan,ntb00594
bat,Lancashire,ntb00595
bat,Hampshire,ntb00596
field,Somerset,ntb00597
field,Essex,ntb00598
bat,Northamptonshire,ntb00599
bat,Gloucestershire,ntb00600
field,Middlesex,ntb00601
bat,Yorkshire,ntb00602
field,Northamptonshire,ntb00603
bat,Glamorgan,ntb00604
field,Kent,ntb00605
field,Hampshire,ntb00606
field,Birmingham Bears,ntb00607
bat,Kent,ntb00608
bat,Durham,ntb00609
field,Worcestershire,ntb00610
field,Nottinghamshire,ntb00611
bat,Sussex,ntb00612
bat,Sussex,ntb00613
field,Lancashire,ntb00614
field,Middlesex,ntb00615
bat,Worcestershire,ntb00616
field,Somerset,ntb00617
field,Northamptonshire,ntb00618
field,Surrey,ntb00619
field,Gloucestershire,ntb00620
bat,Kent,ntb00621
bat,Yorkshire,ntb00622
bat,Hampshire,ntb00623
bat,Lancashire,ntb00624
field,Birmingham Bears,ntb00625
bat,Middlesex,ntb00626
field,Leicestershire,ntb00627
field,Derbyshire,ntb00628
field,Hampshire,ntb00629
bat,Northamptonshire,ntb00630
bat,Lancashire,ntb00631
bat,Middlesex,ntb00632
field,Glamorgan,ntb00633
field,Middlesex,ntb00634
field,Surrey,ntb00635
field,Derbyshire,ntb00636
field,Hampshire,ntb00637
bat,Worcestershire,ntb00638
bat,Leicestershire,ntb00639
bat,Kent,ntb00640
field,Birmingham Bears,ntb00641
field,Nottinghamshire,ntb00642
field,Worcestershire,ntb00643
field,Somerset,ntb00644
field,Kent,ntb00645
field,Worcestershire,ntb00646
field,Durham,ntb00647
field,Hampshire,ntb00648
field,Middlesex,ntb00649
field,Gloucestershire,ntb00650
bat,Nottinghamshire,ntb00651
bat,Hampshire,ntb00652
bat,Durham,ntb00653
field,Somerset,ntb00654
bat,Northamptonshire,ntb00655
field,Sussex,ntb00656
bat,Yorkshire,ntb00657
bat,Essex,ntb00658
bat,Lancashire,ntb00659
field,Kent,ntb00660
field,Somerset,ntb00661
field,Sussex,ntb00662
field,Worcestershire,ntb00663
field,Yorkshire,ntb00664
bat,Glamorgan,ntb00665
bat,Leicestershire,ntb00666
field,Gloucestershire,ntb00667
bat,Somerset,ntb00668
field,Durham,ntb00669
field,Surrey,ntb00670
bat,Durham,ntb00671
field,Glamorgan,ntb00672
field,Hampshire,ntb00673
field,Sussex,ntb00674
field,Nottinghamshire,ntb00675
bat,Leicestershire,ntb00676
bat,Gloucestershire,ntb00677
bat,Somerset,ntb00678
field,Yorkshire,ntb00679
bat,Birmingham Bears,ntb00680
bat,Gloucestershire,ntb00681
field,Surrey,ntb00682
bat,Derbyshire,ntb00683
bat,Hampshire,ntb00684
field,Lancashire,ntb00685
field,Sussex,ntb00686
bat,Leicestershire,ntb00687
field,Durham,ntb00688
field,Sussex,ntb00689
field,Hampshire,ntb00690
field,Somerset,ntb00691
bat,Leicestershire,ntb00692
field,Durham,ntb00693
bat,Surrey,ntb00694
bat,Birmingham Bears,ntb00695
bat,Northamptonshire,ntb00696
field,Glamorgan,ntb00697
bat,Middlesex,ntb00698
bat,Nottinghamshire,ntb00699
bat,Leicestershire,ntb00700
field,Hampshire,ntb00701
field,Worcestershire,ntb00702
bat,Birmingham Bears,ntb00703
bat,Derbyshire,ntb00704
bat,Glamorgan,ntb00705
bat,Somerset,ntb00706
field,Birmingham Bears,ntb00707
field,Kent,ntb00708
bat,Essex,ntb00709
bat,Yorkshire,ntb00710
bat,Middlesex,ntb00711
bat,Worcestershire,ntb00712
bat,Essex,ntb00713
field,Birmingham Bears,ntb00714
field,Gloucestershire,ntb00715
bat,Leicestershire,ntb00716
bat,Durham,ntb00717
bat,Glamorgan,ntb00718
bat,Somerset,ntb00719
field,Essex,ntb00720
field,Nottinghamshire,ntb00721
field,Worcestershire,ntb00722
field,Derbyshire,ntb00723
field,Essex,ntb00724
field,Nottinghamshire,ntb00725
bat,Essex,ntb00726
field,Kent,ntb00727
bat,Lancashire,ntb00728
field,Essex,ntb00729
field,Surrey,ntb00730
field,Northamptonshire,ntb00731
field,Gloucestershire,ntb00732
field,Lancashire,ntb00733
bat,Durham,ntb00734
field,Kent,ntb00735
field,Surrey,ntb00736
bat,Yorkshire,ntb00737
