key,date
ipl0661,2018-04-26
ipl0662,2018-04-27
ipl0663,2018-04-28
ipl0664,2018-04-29
ipl0665,2018-04-29
ipl0666,2018-04-30
ipl0667,2018-05-01
ipl0668,2018-05-02
ipl0669,2018-05-03
ipl0670,2018-05-04
ipl0671,2018-05-05
ipl0672,2018-05-05
ipl0673,2018-05-06
ipl0674,2018-05-06
ipl0675,2018-05-07
ipl0676,2018-05-08
ipl0677,2018-05-09
ipl0678,2018-05-10
ipl0679,2018-05-11
ipl0680,2018-05-12
ipl0681,2018-05-12
ipl0682,2018-05-13
ipl0683,2018-05-13
ipl0684,2018-05-14
ipl0685,2018-05-15
ipl0686,2018-05-16
ipl0687,2018-05-17
ipl0688,2018-05-18
ipl0689,2018-05-19
ipl0690,2018-05-19
ipl0691,2018-05-20
ipl0692,2018-05-20
ipl0693,2018-05-22
ipl0694,2018-05-23
ipl0695,2018-05-25
ipl0696,2018-05-27
ipl0697,2019-03-23
ipl0698,2019-03-24
ipl0699,2019-03-24
ipl0700,2019-03-25
ipl0701,2019-03-26
ipl0702,2019-03-27
ipl0703,2019-03-28
ipl0704,2019-03-29
ipl0705,2019-03-30
ipl0706,2019-03-30
ipl0707,2019-03-31
ipl0708,2019-03-31
ipl0709,2019-04-01
ipl0710,2019-04-02
ipl0711,2019-04-03
ipl0712,2019-04-04
ipl0713,2019-04-05
ipl0714,2019-04-06
ipl0715,2019-04-06
ipl0716,2019-04-07
ipl0717,2019-04-07
ipl0718,2019-04-08
ipl0719,2019-04-09
ipl0720,2019-04-10
ipl0721,2019-04-11
ipl0722,2019-04-12
ipl0723,2019-04-13
ipl0724,2019-04-13
ipl0725,2019-04-14
ipl0726,2019-04-14
ipl0727,2019-04-15
ipl0728,2019-04-16
ipl0729,2019-04-17
ipl0730,2019-04-18
ipl0731,2019-04-19
ipl0732,2019-04-20
ipl0733,2019-04-20
ipl0734,2019-04-21
ipl0735,2019-04-21
ipl0736,2019-04-22
ipl0737,2019-04-23
ipl0738,2019-04-24
ipl0739,2019-04-25
ipl0740,2019-04-26
ipl0741,2019-04-27
ipl0742,2019-04-28
ipl0743,2019-04-28
ipl0744,2019-04-29
ipl0745,2019-04-30
ipl0746,2019-05-01
ipl0747,2019-05-02
ipl0748,2019-05-03
ipl0749,2019-05-04
ipl0750,2019-05-04
ipl0751,2019-05-05
ipl0752,2019-05-05
ipl0753,2019-05-07
ipl0754,2019-05-08
ipl0755,2019-05-10
ipl0756,2019-05-12
ipl0757,2020-09-19
ipl0758,2020-09-20
ipl0759,2020-09-21
ipl0760,2020-09-22
ipl0761,2020-09-23
ipl0762,2020-09-24
ipl0763,2020-09-25
ipl0764,2020-09-26
ipl0765,2020-09-27
ipl0766,2020-09-28
ipl0767,2020-09-29
ipl0768,2020-09-30
ipl0769,2020-10-01
ipl0770,2020-10-02
ipl0771,2020-10-03
ipl0772,2020-10-03
ipl0773,2020-10-04
ipl0774,2020-10-04
ipl0775,2020-10-05
ipl0776,2020-10-06
ipl0777,2020-10-07
ipl0778,2020-10-08
ipl0779,2020-10-09
ipl0780,2020-10-10
ipl0781,2020-10-10
ipl0782,2020-10-11
ipl0783,2020-10-11
ipl0784,2020-10-12
ipl0785,2020-10-13
ipl0786,2020-10-14
ipl0787,2020-10-15
ipl0788,2020-10-16
ipl0789,2020-10-17
ipl0790,2020-10-17
ipl0791,2020-10-18
ipl0792,2020-10-18
ipl0793,2020-10-19
ipl0794,2020-10-20
ipl0795,2020-10-21
ipl0796,2020-10-22
ipl0797,2020-10-23
ipl0798,2020-10-24
ipl0799,2020-10-24
ipl0800,2020-10-25
ipl0801,2020-10-25
ipl0802,2020-10-26
ipl0803,2020-10-27
ipl0804,2020-10-28
ipl0805,2020-10-29
ipl0806,2020-10-30
ipl0807,2020-10-31
ipl0808,2020-10-31
ipl0809,2020-11-01
ipl0810,2020-11-01
ipl0811,2020-11-02
ipl0812,2020-11-03
ipl0813,2020-11-05
ipl0814,2020-11-06
ipl0815,2020-11-08
ipl0816,2020-11-10
ipl0817,2021-04-09
ipl0818,2021-04-10
ipl0819,2021-04-11
ipl0820,2021-04-12
ipl0821,2021-04-13
ipl0822,2021-04-14
ipl0823,2021-04-15
ipl0824,2021-04-16
ipl0825,2021-04-17
ipl0826,2021-04-18
ipl0827,2021-04-18
ipl0828,2021-04-19
ipl0829,2021-04-20
ipl0830,2021-04-21
ipl0831,2021-04-21
ipl0832,2021-04-22
ipl0833,2021-04-23
ipl0834,2021-04-24
ipl0835,2021-04-25
ipl0836,2021-04-25
ipl0837,2021-04-26
ipl0838,2021-04-27
ipl0839,2021-04-28
ipl0840,2021-04-29
ipl0841,2021-04-29
ipl0842,2021-04-30
ipl0843,2021-05-01
ipl0844,2021-05-02
ipl0845,2021-05-02
ipl0846,2021-09-19
ipl0847,2021-09-20
ipl0848,2021-09-21
ipl0849,2021-09-22
ipl0850,2021-09-23
ipl0851,2021-09-24
ipl0852,2021-09-25
ipl0853,2021-09-25
ipl0854,2021-09-26
ipl0855,2021-09-26
ipl0856,2021-09-27
ipl0857,2021-09-28
ipl0858,2021-09-28
ipl0859,2021-09-29
ipl0860,2021-09-30
ipl0861,2021-10-01
ipl0862,2021-10-02
ipl0863,2021-10-02
ipl0864,2021-10-03
ipl0865,2021-10-03
ipl0866,2021-10-04
ipl0867,2021-10-05
ipl0868,2021-10-06
ipl0869,2021-10-07
ipl0870,2021-10-07
ipl0871,2021-10-08
ipl0872,2021-10-08
ipl0873,2021-10-10
ipl0874,2021-10-11
ipl0875,2021-10-13
ipl0876,2021-10-15
ipl0877,2022-03-26
ipl0878,2022-03-27
ipl0879,2022-03-27
ipl0880,2022-03-28
ipl0881,2022-03-29
ipl0882,2022-03-30
ipl0883,2022-03-31
ipl0884,2022-04-01
ipl0885,2022-04-02
ipl0886,2022-04-02
ipl0887,2022-04-03
ipl0888,2022-04-04
ipl0889,2022-04-05
ipl0890,2022-04-06
ipl0891,2022-04-07
ipl0892,2022-04-08
ipl0893,2022-04-09
ipl0894,2022-04-09
ipl0895,2022-04-10
ipl0896,2022-04-10
ipl0897,2022-04-11
ipl0898,2022-04-12
ipl0899,2022-04-13
ipl0900,2022-04-14
ipl0901,2022-04-15
