key_id,decision,winner
t20s0601,bat,United Arab Emirates
t20s0602,field,Pakistan
t20s0603,bat,South Africa
t20s0604,bat,Australia
t20s0605,field,India
t20s0606,field,Australia
t20s0607,bat,Afghanistan
t20s0608,field,Hong Kong
t20s0609,bat,Ireland
t20s0610,field,Netherlands
t20s0611,bat,South Africa
t20s0612,bat,South Africa
t20s0613,bat,Hong Kong
t20s0614,bat,Zimbabwe
t20s0615,field,Ireland
t20s0616,bat,Hong Kong
t20s0617,bat,Afghanistan
t20s0618,field,Oman
t20s0619,field,Ireland
t20s0620,bat,Sri Lanka
t20s0621,field,Bangladesh
t20s0622,bat,New Zealand
t20s0623,field,Pakistan
t20s0624,bat,Pakistan
t20s0625,field,West Indies
t20s0626,bat,England
t20s0627,bat,Afghanistan
t20s0628,bat,South Africa
t20s0629,bat,New Zealand
t20s0630,field,England
t20s0631,bat,New Zealand
t20s0632,field,Pakistan
t20s0633,field,India
t20s0634,bat,Sri Lanka
t20s0635,bat,West Indies
t20s0636,field,West Indies
t20s0637,bat,South Africa
t20s0638,bat,Australia
t20s0639,field,Australia
t20s0640,field,England
t20s0641,bat,New Zealand
t20s0642,bat,South Africa
t20s0643,field,Bangladesh
t20s0644,bat,England
t20s0645,bat,Bangladesh
t20s0646,bat,Sri Lanka
t20s0647,bat,West Indies
t20s0648,field,West Indies
t20s0649,bat,Australia
t20s0650,field,New Zealand
t20s0651,field,Australia
t20s0652,field,Sri Lanka
t20s0653,bat,New Zealand
t20s0654,bat,England
t20s0655,field,India
t20s0656,field,West Indies
t20s0657,bat,Australia
t20s0658,bat,Sri Lanka
t20s0659,field,South Africa
t20s0660,field,England
t20s0661,field,England
t20s0662,field,New Zealand
t20s0663,field,West Indies
t20s0664,bat,Australia
t20s0665,field,West Indies
t20s0666,field,India
t20s0667,bat,Zimbabwe
t20s0668,field,Zimbabwe
t20s0669,bat,England
t20s0670,bat,England
t20s0671,bat,Sri Lanka
t20s0672,bat,England
t20s0673,field,India
t20s0674,field,India
t20s0675,field,Bangladesh
t20s0676,bat,Hong Kong
t20s0677,field,Sri Lanka
t20s0678,bat,England
t20s0679,bat,Sri Lanka
t20s0680,field,Pakistan
t20s0681,field,West Indies
t20s0682,field,Pakistan
t20s0683,field,Australia
t20s0684,bat,New Zealand
t20s0685,bat,India
t20s0686,bat,Afghanistan
t20s0687,bat,United Arab Emirates
t20s0688,bat,Afghanistan
t20s0689,bat,Bangladesh
t20s0690,field,Bangladesh
t20s0691,field,Bangladesh
t20s0692,bat,Ireland
t20s0693,bat,Scotland
t20s0694,bat,Oman
t20s0695,field,Afghanistan
t20s0696,field,Oman
t20s0697,field,Netherlands
t20s0698,bat,Hong Kong
t20s0699,bat,Ireland
t20s0700,bat,Oman
t20s0701,field,Sri Lanka
t20s0702,bat,Ireland
t20s0703,field,Scotland
t20s0704,field,Afghanistan
t20s0705,bat,South Africa
t20s0706,bat,South Africa
t20s0707,field,England
t20s0708,field,England
t20s0709,field,England
t20s0710,field,New Zealand
t20s0711,field,New Zealand
t20s0712,field,Sri Lanka
t20s0713,field,Australia
t20s0714,field,Sri Lanka
t20s0715,bat,New Zealand
t20s0716,field,Sri Lanka
t20s0717,bat,Ireland
t20s0718,bat,Afghanistan
t20s0719,field,Ireland
t20s0720,field,Pakistan
t20s0721,field,West Indies
t20s0722,bat,Pakistan
t20s0723,field,Pakistan
t20s0724,bat,Bangladesh
t20s0725,bat,Bangladesh
t20s0726,field,United Arab Emirates
t20s0727,bat,Papua New Guinea
t20s0728,field,Papua New Guinea
t20s0729,bat,Afghanistan
t20s0730,bat,West Indies
t20s0731,bat,Afghanistan
t20s0732,bat,South Africa
t20s0733,field,England
t20s0734,field,South Africa
t20s0735,field,West Indies
t20s0736,field,India
t20s0737,field,ICC World XI
t20s0738,bat,Pakistan
t20s0739,field,ICC World XI
t20s0740,field,England
t20s0741,field,India
t20s0742,field,Australia
t20s0743,bat,West Indies
t20s0744,field,Pakistan
t20s0745,bat,South Africa
t20s0746,field,Pakistan
t20s0747,field,Sri Lanka
t20s0748,field,Bangladesh
t20s0749,field,New Zealand
t20s0750,bat,New Zealand
t20s0751,field,New Zealand
t20s0752,bat,New Zealand
t20s0753,bat,New Zealand
t20s0754,bat,Pakistan
t20s0755,field,Australia
t20s0756,bat,England
t20s0757,bat,Australia
t20s0758,field,Sri Lanka
t20s0759,field,Sri Lanka
t20s0760,field,India
t20s0761,field,West Indies
t20s0762,field,West Indies
t20s0763,bat,New Zealand
t20s0764,field,New Zealand
t20s0765,bat,Pakistan
t20s0766,bat,Pakistan
t20s0767,field,Australia
t20s0768,field,Afghanistan
t20s0769,field,Zimbabwe
