match_number,name,key,stage
23.0,Indian Premier League,ipl00482,nan
26.0,Indian Premier League,ipl00483,nan
27.0,Indian Premier League,ipl00484,nan
28.0,Indian Premier League,ipl00485,nan
29.0,Indian Premier League,ipl00486,nan
30.0,Indian Premier League,ipl00487,nan
31.0,Indian Premier League,ipl00488,nan
32.0,Indian Premier League,ipl00489,nan
33.0,Indian Premier League,ipl00490,nan
34.0,Indian Premier League,ipl00491,nan
35.0,Indian Premier League,ipl00492,nan
36.0,Indian Premier League,ipl00493,nan
37.0,Indian Premier League,ipl00494,nan
38.0,Indian Premier League,ipl00495,nan
39.0,Indian Premier League,ipl00496,nan
40.0,Indian Premier League,ipl00497,nan
42.0,Indian Premier League,ipl00498,nan
41.0,Indian Premier League,ipl00499,nan
43.0,Indian Premier League,ipl00500,nan
45.0,Indian Premier League,ipl00501,nan
44.0,Indian Premier League,ipl00502,nan
46.0,Indian Premier League,ipl00503,nan
47.0,Indian Premier League,ipl00504,nan
48.0,Indian Premier League,ipl00505,nan
49.0,Indian Premier League,ipl00506,nan
50.0,Indian Premier League,ipl00507,nan
51.0,Indian Premier League,ipl00508,nan
52.0,Indian Premier League,ipl00509,nan
53.0,Indian Premier League,ipl00510,nan
54.0,Indian Premier League,ipl00511,nan
55.0,Indian Premier League,ipl00512,nan
56.0,Indian Premier League,ipl00513,nan
,Indian Premier League,ipl00514,Qualifier 1
,Indian Premier League,ipl00515,Eliminator
,Indian Premier League,ipl00516,Qualifier 2
,Indian Premier League,ipl00517,Final
1.0,Indian Premier League,ipl00518,nan
2.0,Indian Premier League,ipl00519,nan
3.0,Indian Premier League,ipl00520,nan
4.0,Indian Premier League,ipl00521,nan
5.0,Indian Premier League,ipl00522,nan
6.0,Indian Premier League,ipl00523,nan
7.0,Indian Premier League,ipl00524,nan
8.0,Indian Premier League,ipl00525,nan
9.0,Indian Premier League,ipl00526,nan
10.0,Indian Premier League,ipl00527,nan
11.0,Indian Premier League,ipl00528,nan
12.0,Indian Premier League,ipl00529,nan
13.0,Indian Premier League,ipl00530,nan
14.0,Indian Premier League,ipl00531,nan
15.0,Indian Premier League,ipl00532,nan
16.0,Indian Premier League,ipl00533,nan
17.0,Indian Premier League,ipl00534,nan
18.0,Indian Premier League,ipl00535,nan
19.0,Indian Premier League,ipl00536,nan
20.0,Indian Premier League,ipl00537,nan
21.0,Indian Premier League,ipl00538,nan
22.0,Indian Premier League,ipl00539,nan
23.0,Indian Premier League,ipl00540,nan
24.0,Indian Premier League,ipl00541,nan
25.0,Indian Premier League,ipl00542,nan
26.0,Indian Premier League,ipl00543,nan
27.0,Indian Premier League,ipl00544,nan
28.0,Indian Premier League,ipl00545,nan
29.0,Indian Premier League,ipl00546,nan
30.0,Indian Premier League,ipl00547,nan
31.0,Indian Premier League,ipl00548,nan
32.0,Indian Premier League,ipl00549,nan
33.0,Indian Premier League,ipl00550,nan
34.0,Indian Premier League,ipl00551,nan
35.0,Indian Premier League,ipl00552,nan
36.0,Indian Premier League,ipl00553,nan
37.0,Indian Premier League,ipl00554,nan
38.0,Indian Premier League,ipl00555,nan
