team_1,team_2,key
Pune Warriors,Delhi Daredevils,ipl00394
Chennai Super Kings,Mumbai Indians,ipl00395
Rajasthan Royals,Sunrisers Hyderabad,ipl00396
Mumbai Indians,Rajasthan Royals,ipl00397
Chennai Super Kings,Mumbai Indians,ipl00398
Mumbai Indians,Kolkata Knight Riders,ipl00399
Delhi Daredevils,Royal Challengers Bangalore,ipl00400
Chennai Super Kings,Kings XI Punjab,ipl00401
Sunrisers Hyderabad,Rajasthan Royals,ipl00402
Royal Challengers Bangalore,Mumbai Indians,ipl00403
Kolkata Knight Riders,Delhi Daredevils,ipl00404
Rajasthan Royals,Kings XI Punjab,ipl00405
Chennai Super Kings,Delhi Daredevils,ipl00406
Kings XI Punjab,Sunrisers Hyderabad,ipl00407
Rajasthan Royals,Chennai Super Kings,ipl00408
Royal Challengers Bangalore,Kolkata Knight Riders,ipl00409
Chennai Super Kings,Mumbai Indians,ipl00410
Sunrisers Hyderabad,Delhi Daredevils,ipl00411
Rajasthan Royals,Royal Challengers Bangalore,ipl00412
Kolkata Knight Riders,Kings XI Punjab,ipl00413
Delhi Daredevils,Mumbai Indians,ipl00414
Sunrisers Hyderabad,Chennai Super Kings,ipl00415
Kings XI Punjab,Royal Challengers Bangalore,ipl00416
Kolkata Knight Riders,Rajasthan Royals,ipl00417
Mumbai Indians,Sunrisers Hyderabad,ipl00418
Chennai Super Kings,Kolkata Knight Riders,ipl00419
Mumbai Indians,Kings XI Punjab,ipl00420
Delhi Daredevils,Rajasthan Royals,ipl00421
Royal Challengers Bangalore,Sunrisers Hyderabad,ipl00422
Rajasthan Royals,Kolkata Knight Riders,ipl00423
Delhi Daredevils,Chennai Super Kings,ipl00424
Mumbai Indians,Royal Challengers Bangalore,ipl00425
Kings XI Punjab,Chennai Super Kings,ipl00426
Delhi Daredevils,Kolkata Knight Riders,ipl00427
Rajasthan Royals,Sunrisers Hyderabad,ipl00428
Royal Challengers Bangalore,Kings XI Punjab,ipl00429
Delhi Daredevils,Sunrisers Hyderabad,ipl00430
Mumbai Indians,Chennai Super Kings,ipl00431
Kings XI Punjab,Kolkata Knight Riders,ipl00432
Royal Challengers Bangalore,Rajasthan Royals,ipl00433
Sunrisers Hyderabad,Mumbai Indians,ipl00434
Chennai Super Kings,Rajasthan Royals,ipl00435
Royal Challengers Bangalore,Delhi Daredevils,ipl00436
Sunrisers Hyderabad,Kings XI Punjab,ipl00437
Kolkata Knight Riders,Mumbai Indians,ipl00438
Rajasthan Royals,Delhi Daredevils,ipl00439
Chennai Super Kings,Royal Challengers Bangalore,ipl00440
Sunrisers Hyderabad,Kolkata Knight Riders,ipl00441
Rajasthan Royals,Mumbai Indians,ipl00442
Delhi Daredevils,Kings XI Punjab,ipl00443
Sunrisers Hyderabad,Royal Challengers Bangalore,ipl00444
Kolkata Knight Riders,Chennai Super Kings,ipl00445
Kings XI Punjab,Mumbai Indians,ipl00446
Kolkata Knight Riders,Royal Challengers Bangalore,ipl00447
Chennai Super Kings,Sunrisers Hyderabad,ipl00448
Mumbai Indians,Delhi Daredevils,ipl00449
Kings XI Punjab,Rajasthan Royals,ipl00450
Royal Challengers Bangalore,Chennai Super Kings,ipl00451
Kolkata Knight Riders,Sunrisers Hyderabad,ipl00452
Kings XI Punjab,Delhi Daredevils,ipl00453
Mumbai Indians,Rajasthan Royals,ipl00454
Kings XI Punjab,Kolkata Knight Riders,ipl00455
Chennai Super Kings,Mumbai Indians,ipl00456
Chennai Super Kings,Kings XI Punjab,ipl00457
Kolkata Knight Riders,Kings XI Punjab,ipl00458
Kolkata Knight Riders,Mumbai Indians,ipl00459
Chennai Super Kings,Delhi Daredevils,ipl00460
Kings XI Punjab,Rajasthan Royals,ipl00461
Chennai Super Kings,Sunrisers Hyderabad,ipl00462
Kolkata Knight Riders,Royal Challengers Bangalore,ipl00463
Mumbai Indians,Kings XI Punjab,ipl00464
Delhi Daredevils,Rajasthan Royals,ipl00465
Royal Challengers Bangalore,Sunrisers Hyderabad,ipl00466
Rajasthan Royals,Mumbai Indians,ipl00467
Kings XI Punjab,Delhi Daredevils,ipl00468
Sunrisers Hyderabad,Rajasthan Royals,ipl00469
Mumbai Indians,Chennai Super Kings,ipl00470
Sunrisers Hyderabad,Delhi Daredevils,ipl00471
Kings XI Punjab,Kolkata Knight Riders,ipl00472
Rajasthan Royals,Chennai Super Kings,ipl00473
