decision,winner,key
field,Kolkata Knight Riders,ipl00630
field,Rising Pune Supergiant,ipl00631
bat,Royal Challengers Bangalore,ipl00632
field,Mumbai Indians,ipl00633
field,Kolkata Knight Riders,ipl00634
field,Mumbai Indians,ipl00635
bat,Mumbai Indians,ipl00636
field,Chennai Super Kings,ipl00637
field,Kolkata Knight Riders,ipl00638
field,Kings XI Punjab,ipl00639
field,Sunrisers Hyderabad,ipl00640
field,Chennai Super Kings,ipl00641
field,Delhi Daredevils,ipl00642
field,Sunrisers Hyderabad,ipl00643
field,Royal Challengers Bangalore,ipl00644
field,Delhi Daredevils,ipl00645
field,Sunrisers Hyderabad,ipl00646
field,Royal Challengers Bangalore,ipl00647
field,Chennai Super Kings,ipl00648
field,Delhi Daredevils,ipl00649
field,Royal Challengers Bangalore,ipl00650
field,Kolkata Knight Riders,ipl00651
bat,Kings XI Punjab,ipl00652
field,Rajasthan Royals,ipl00653
field,Royal Challengers Bangalore,ipl00654
field,Kings XI Punjab,ipl00655
bat,Mumbai Indians,ipl00656
field,Sunrisers Hyderabad,ipl00657
field,Delhi Daredevils,ipl00658
field,Mumbai Indians,ipl00659
field,Chennai Super Kings,ipl00660
field,Kings XI Punjab,ipl00661
field,Kolkata Knight Riders,ipl00662
field,Mumbai Indians,ipl00663
bat,Sunrisers Hyderabad,ipl00664
field,Kolkata Knight Riders,ipl00665
field,Delhi Daredevils,ipl00666
field,Mumbai Indians,ipl00667
field,Rajasthan Royals,ipl00668
field,Kolkata Knight Riders,ipl00669
field,Mumbai Indians,ipl00670
bat,Delhi Daredevils,ipl00671
field,Chennai Super Kings,ipl00672
field,Kolkata Knight Riders,ipl00673
field,Kings XI Punjab,ipl00674
field,Royal Challengers Bangalore,ipl00675
bat,Rajasthan Royals,ipl00676
field,Kolkata Knight Riders,ipl00677
bat,Delhi Daredevils,ipl00678
bat,Chennai Super Kings,ipl00679
field,Kings XI Punjab,ipl00680
field,Royal Challengers Bangalore,ipl00681
field,Chennai Super Kings,ipl00682
field,Rajasthan Royals,ipl00683
field,Royal Challengers Bangalore,ipl00684
field,Kolkata Knight Riders,ipl00685
field,Kings XI Punjab,ipl00686
field,Sunrisers Hyderabad,ipl00687
field,Chennai Super Kings,ipl00688
bat,Sunrisers Hyderabad,ipl00689
bat,Rajasthan Royals,ipl00690
field,Chennai Super Kings,ipl00691
bat,Delhi Daredevils,ipl00692
field,Chennai Super Kings,ipl00693
field,Rajasthan Royals,ipl00694
field,Kolkata Knight Riders,ipl00695
field,Chennai Super Kings,ipl00696
field,Chennai Super Kings,ipl00697
field,Kolkata Knight Riders,ipl00698
field,Mumbai Indians,ipl00699
field,Rajasthan Royals,ipl00700
bat,Delhi Capitals,ipl00701
field,Kings XI Punjab,ipl00702
field,Royal Challengers Bangalore,ipl00703
bat,Rajasthan Royals,ipl00704
field,Kings XI Punjab,ipl00705
field,Delhi Capitals,ipl00706
field,Rajasthan Royals,ipl00707
field,Royal Challengers Bangalore,ipl00708
field,Delhi Capitals,ipl00709
field,Rajasthan Royals,ipl00710
field,Chennai Super Kings,ipl00711
field,Sunrisers Hyderabad,ipl00712
field,Kolkata Knight Riders,ipl00713
bat,Chennai Super Kings,ipl00714
field,Sunrisers Hyderabad,ipl00715
field,Delhi Capitals,ipl00716
field,Kolkata Knight Riders,ipl00717
field,Kings XI Punjab,ipl00718
field,Chennai Super Kings,ipl00719
field,Mumbai Indians,ipl00720
field,Chennai Super Kings,ipl00721
field,Delhi Capitals,ipl00722
field,Royal Challengers Bangalore,ipl00723
field,Rajasthan Royals,ipl00724
field,Sunrisers Hyderabad,ipl00725
field,Chennai Super Kings,ipl00726
field,Mumbai Indians,ipl00727
field,Rajasthan Royals,ipl00728
bat,Chennai Super Kings,ipl00729
bat,Mumbai Indians,ipl00730
field,Kolkata Knight Riders,ipl00731
field,Rajasthan Royals,ipl00732
field,Delhi Capitals,ipl00733
field,Sunrisers Hyderabad,ipl00734
field,Chennai Super Kings,ipl00735
field,Delhi Capitals,ipl00736
