decision,winner,key
field,Melbourne Stars,bbl00264
field,Melbourne Renegades,bbl00265
bat,Sydney Thunder,bbl00266
field,Hobart Hurricanes,bbl00267
field,Melbourne Stars,bbl00268
field,Brisbane Heat,bbl00269
bat,Adelaide Strikers,bbl00270
field,Sydney Thunder,bbl00271
field,Adelaide Strikers,bbl00272
field,Sydney Sixers,bbl00273
field,Sydney Thunder,bbl00274
field,Brisbane Heat,bbl00275
field,Perth Scorchers,bbl00276
field,Hobart Hurricanes,bbl00277
field,Sydney Sixers,bbl00278
bat,Melbourne Renegades,bbl00279
field,Adelaide Strikers,bbl00280
field,Brisbane Heat,bbl00281
field,Sydney Sixers,bbl00282
field,Brisbane Heat,bbl00283
field,Melbourne Stars,bbl00284
field,Melbourne Renegades,bbl00285
field,Brisbane Heat,bbl00286
bat,Perth Scorchers,bbl00287
field,Sydney Thunder,bbl00288
field,Sydney Sixers,bbl00289
field,Melbourne Stars,bbl00290
field,Melbourne Renegades,bbl00291
field,Melbourne Stars,bbl00292
bat,Sydney Thunder,bbl00293
field,Sydney Sixers,bbl00294
bat,Melbourne Renegades,bbl00295
bat,Hobart Hurricanes,bbl00296
field,Brisbane Heat,bbl00297
field,Sydney Thunder,bbl00298
field,Melbourne Renegades,bbl00299
bat,Melbourne Stars,bbl00300
field,Sydney Sixers,bbl00301
field,Perth Scorchers,bbl00302
bat,Melbourne Renegades,bbl00303
field,Perth Scorchers,bbl00304
field,Melbourne Stars,bbl00305
bat,Sydney Thunder,bbl00306
bat,Adelaide Strikers,bbl00307
field,Melbourne Stars,bbl00308
bat,Sydney Thunder,bbl00309
bat,Perth Scorchers,bbl00310
bat,Sydney Thunder,bbl00311
bat,Melbourne Renegades,bbl00312
field,Hobart Hurricanes,bbl00313
field,Melbourne Stars,bbl00314
bat,Adelaide Strikers,bbl00315
bat,Hobart Hurricanes,bbl00316
bat,Brisbane Heat,bbl00317
field,Perth Scorchers,bbl00318
field,Sydney Sixers,bbl00319
field,Melbourne Stars,bbl00320
bat,Hobart Hurricanes,bbl00321
field,Melbourne Stars,bbl00322
field,Sydney Thunder,bbl00323
bat,Perth Scorchers,bbl00324
field,Sydney Sixers,bbl00325
bat,Adelaide Strikers,bbl00326
field,Hobart Hurricanes,bbl00327
bat,Adelaide Strikers,bbl00328
bat,Melbourne Renegades,bbl00329
bat,Perth Scorchers,bbl00330
field,Hobart Hurricanes,bbl00331
bat,Brisbane Heat,bbl00332
bat,Melbourne Stars,bbl00333
field,Sydney Thunder,bbl00334
field,Hobart Hurricanes,bbl00335
field,Brisbane Heat,bbl00336
field,Melbourne Stars,bbl00337
bat,Sydney Thunder,bbl00338
field,Melbourne Renegades,bbl00339
field,Melbourne Stars,bbl00340
field,Sydney Sixers,bbl00341
