batter,bowler,non_striker,runs_batter,runs_extras,runs_total,over,delivery_no,batting_team,inning_no,wickets_kind,wickets_player_out,review_by,review_umpire,review_batter,review_decision,bowling_team,key,review_umpires_call,replacements_role,review_type,extras_type
D Brevis,FD Adams,RD Rickelton,1,0,1,4,2,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
RD Rickelton,FD Adams,D Brevis,0,0,0,4,3,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
RD Rickelton,FD Adams,D Brevis,0,0,0,4,4,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
RD Rickelton,FD Adams,D Brevis,1,0,1,4,5,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
D Brevis,FD Adams,RD Rickelton,1,0,1,4,6,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
D Brevis,Codi Yusuf,RD Rickelton,6,0,6,5,1,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
D Brevis,Codi Yusuf,RD Rickelton,4,0,4,5,2,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
D Brevis,Codi Yusuf,RD Rickelton,0,0,0,5,3,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
D Brevis,Codi Yusuf,RD Rickelton,1,0,1,5,4,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
RD Rickelton,Codi Yusuf,D Brevis,4,0,4,5,5,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
RD Rickelton,Codi Yusuf,D Brevis,1,0,1,5,6,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
RD Rickelton,T Shamsi,D Brevis,1,0,1,6,1,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
D Brevis,T Shamsi,RD Rickelton,1,0,1,6,2,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
RD Rickelton,T Shamsi,D Brevis,2,0,2,6,3,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
RD Rickelton,T Shamsi,D Brevis,1,0,1,6,4,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
D Brevis,T Shamsi,RD Rickelton,1,0,1,6,5,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
RD Rickelton,T Shamsi,D Brevis,1,0,1,6,6,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
RD Rickelton,BC Fortuin,D Brevis,1,0,1,7,1,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
D Brevis,BC Fortuin,RD Rickelton,1,0,1,7,2,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
RD Rickelton,BC Fortuin,D Brevis,1,0,1,7,3,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
D Brevis,BC Fortuin,RD Rickelton,1,0,1,7,4,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
RD Rickelton,BC Fortuin,D Brevis,0,0,0,7,5,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
RD Rickelton,BC Fortuin,D Brevis,0,0,0,7,6,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
D Brevis,T Shamsi,RD Rickelton,6,0,6,8,1,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
D Brevis,T Shamsi,RD Rickelton,0,0,0,8,2,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
D Brevis,T Shamsi,RD Rickelton,0,1,1,8,2,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,wides
D Brevis,T Shamsi,RD Rickelton,1,0,1,8,3,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
RD Rickelton,T Shamsi,D Brevis,1,0,1,8,4,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
D Brevis,T Shamsi,RD Rickelton,4,0,4,8,5,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
D Brevis,T Shamsi,RD Rickelton,1,0,1,8,6,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
D Brevis,FD Adams,RD Rickelton,2,0,2,9,1,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
D Brevis,FD Adams,RD Rickelton,6,0,6,9,2,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
D Brevis,FD Adams,RD Rickelton,1,0,1,9,3,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
RD Rickelton,FD Adams,D Brevis,0,0,0,9,4,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
RD Rickelton,FD Adams,D Brevis,0,1,1,9,5,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,legbyes
D Brevis,FD Adams,RD Rickelton,1,0,1,9,6,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
D Brevis,RR Simmonds,RD Rickelton,0,0,0,10,1,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
D Brevis,RR Simmonds,RD Rickelton,1,0,1,10,2,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
RD Rickelton,RR Simmonds,D Brevis,6,0,6,10,3,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
RD Rickelton,RR Simmonds,D Brevis,0,0,0,10,4,MI Cape Town,2,bowled,RD Rickelton,,,,,Paarl Royals,sat00001,,,,
SM Curran,RR Simmonds,D Brevis,0,0,0,10,5,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
SM Curran,RR Simmonds,D Brevis,0,0,0,10,6,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
D Brevis,FD Adams,SM Curran,6,0,6,11,1,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
D Brevis,FD Adams,SM Curran,1,0,1,11,2,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
SM Curran,FD Adams,D Brevis,0,0,0,11,3,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
SM Curran,FD Adams,D Brevis,0,0,0,11,4,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
SM Curran,FD Adams,D Brevis,0,0,0,11,5,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
SM Curran,FD Adams,D Brevis,1,0,1,11,6,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
SM Curran,T Shamsi,D Brevis,1,0,1,12,1,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
D Brevis,T Shamsi,SM Curran,1,0,1,12,2,MI Cape Town,2,,,Paarl Royals,A Paleker,SM Curran,struck down,Paarl Royals,sat00001,,,,
SM Curran,T Shamsi,D Brevis,0,0,0,12,3,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
SM Curran,T Shamsi,D Brevis,6,0,6,12,4,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
SM Curran,T Shamsi,D Brevis,1,0,1,12,5,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
D Brevis,T Shamsi,SM Curran,1,0,1,12,6,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
D Brevis,RR Simmonds,SM Curran,1,0,1,13,1,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
SM Curran,RR Simmonds,D Brevis,0,0,0,13,2,MI Cape Town,2,,,,,,,Paarl Royals,sat00001,,,,
